ResourceID,Full Address,Address Type,Building Name,Building Number (Sub-Street),Sub-Street,Building Number (Street),Street,Locality,Town,County,Country,Postcode
47228583-5ce8-4d49-b703-558fa8fc5b80,"150  London Wall, London, EC2Y5HN",Primary,,,,150 ,London Wall,,London,,,EC2Y5HN
474a2a55-28e0-4bb5-a886-d29ec1169399,"67  Brook Street, London, W1K 4NJ",Primary,,,,67 ,Brook Street,,London,,,W1K 4NJ
47cb9ce3-72c5-441b-901e-f664affd104c,"Old Church Court, Claylands Road, The Oval, London, SW8 1NZ",Primary,Old Church Court,,,,Claylands Road,The Oval,London,,,SW8 1NZ
47e76eed-a9e1-425c-8ffe-7ecbc31801dd,"Unit 6 Block C, Western Industrial Estate, Caerphilly, CF83 1BQ",Primary,Unit 6 Block C,,,,Western Industrial Estate,,Caerphilly,,,CF83 1BQ
485c75e4-a1c9-44f5-9af4-cf3b3fac09fa,"66 Porchester Road, London, W2 6ET",Primary,,,,66,Porchester Road,,London,,,W2 6ET
4882fccb-0b73-4aff-9647-9b8163419363,"1  Farringdon Street, London, EC4M 7LG",Primary,,,,1 ,Farringdon Street,,London,,,EC4M 7LG
488f2de2-7b12-4ca3-83a1-4b03b7661fc5,"25  Berkeley Square, London, ",Primary,,,,25 ,Berkeley Square,,London,,,
48c6feb0-1f15-402f-b488-6098e4c90fa7,"Blue Lion Place, 237  Long Lane, London, SE1 4PX",Primary,,,Blue Lion Place,237 ,Long Lane,,London,,,SE1 4PX
48f36013-0ade-40d5-b89f-ef9fe6f498b9,"The Old School, Stillhouse Lane, Bristol, BS3 4EB",Primary,The Old School,,,,Stillhouse Lane,,Bristol,,,BS3 4EB
48fccbbc-4e43-4f4e-a7b2-d7df8d0271ba,"Unit 13 Wheatley Business Centre, Wheatley, Oxfordshire, OX33 1XW",Primary,Unit 13,,,,Wheatley Business Centre,,Wheatley,Oxfordshire,,OX33 1XW
49600b2f-a374-42d0-b9bd-9e6787c1f134,"Victoria House, 10 Woolwich Manor Way, Beckton, London, E6 5PA",Primary,Victoria House,,,10,Woolwich Manor Way,Beckton,London,,,E6 5PA
49e27573-a9e4-486d-9b4c-033256d5a694,"Unit 8b - The 1929 Shop, Merton Abbey Mills, Watermill Way, London, SW19 2RD",Primary,"Unit 8b - The 1929 Shop, Merton Abbey Mills",,,,Watermill Way,,London,,,SW19 2RD
49f9d7d8-52c0-4248-bab2-12cc3768a974,"Waltham House, 11  Unity Road, Stowmarket, IP14 1AS",Primary,Waltham House,,,11 ,Unity Road,,Stowmarket,,,IP14 1AS
49fb2e82-cfcd-4ad9-8f98-202aa5c5f8b1,"11th Floor, 140 London Wall, London, EC2Y 5DN",Primary,11th Floor,,,140,London Wall,,London,,,EC2Y 5DN
