ResourceID,Geometry
083876f9-c969-4182-9278-810748c69aeb,"LINESTRING (-0.12957981325379334 51.465388524084894,-0.12938764256698684 51.4652286850883,-0.12938194653633703 51.464856256815025,-0.12935208722043456 51.46277199933782,-0.12929982119185165 51.461236090705974,-0.12914924068569256 51.45980312875774,-0.12897461190773124 51.45870292635366,-0.12896220730611835 51.4582389391014,-0.12865890475230224 51.458240629794915,-0.1285369825474721 51.45815376293602,-0.12846726967120825 51.45781296979829,-0.12826545723735336 51.457378614506226,-0.1281161602944319 51.45693856525135,-0.1280069908643979 51.45602883099504,-0.12787853002368613 51.4550795940162,-0.12777237387746257 51.45460757223998,-0.12753522971953762 51.45427063470895,-0.1271322497011895 51.4538983863256,-0.12699585667791197 51.453654511061174,-0.1269309718377325 51.45319621180019,-0.12675089173295095 51.45274260348041,-0.12663807098120455 51.452433781583856,-0.12660154125705728 51.451538270997574,-0.12636164397125982 51.45024756929863,-0.12581711798485773 51.448226907405385)"
08660f8e-c773-4dbf-9b2a-c16c87e448e9,"LINESTRING (0.051470514822844274 51.44688605217094,0.05173010905535421 51.446863611712736,0.05265755717987338 51.44685452545027)"
08e8396a-1147-4971-b11e-afd95b90919a,"LINESTRING (0.2959067770624508 51.54122206359846,0.3009082832337204 51.54197926011684,0.3029575255953988 51.54246845427325,0.31132658988859435 51.54330157704726,0.31518944189015213 51.54349010086619,0.318063308013546 51.54349442754434,0.3198352585048392 51.543663015880654,0.32208827312561894 51.54365915893853,0.32220633497495976 51.543412477517386,0.32235235519814015 51.54243220900099,0.32205462474132474 51.54107384777655,0.3220686074264221 51.54070705462,0.32251804120112704 51.540555621884195,0.3312573319583949 51.541603976608464,0.33536927699317837 51.54219412639993,0.33730090098915505 51.54292940936018)"
09cf6f61-56d4-4817-9c50-ab9c792f46c9,"MULTILINESTRING ((-0.2940080610889671 51.419425587602255,-0.29392450631561007 51.41943392988111,-0.29325706345572927 51.419517686898445,-0.2932740018179252 51.41988377856129,-0.2932878793285761 51.42014954329633,-0.2932968661805107 51.42031857390475,-0.29331488562494884 51.42065568257624,-0.2933255000387076 51.420735505325304,-0.29332513942002936 51.420790736766534,-0.2933256379615241 51.42091396593512,-0.2933244488321614 51.421037170518346,-0.29331737064487734 51.42109018100294,-0.29333701584602756 51.421383656125485,-0.2933661986297002 51.42137557798877),(-0.29589611860740345 51.42080978018499,-0.29622480822995234 51.42074349879159,-0.2966255658573161 51.420657971104646,-0.2962449607663889 51.420028460535875,-0.29615856318189115 51.41988486447379,-0.29619292230020994 51.419874737814496,-0.29602900583112984 51.41957683522215,-0.2960255724063025 51.41957784729032,-0.296017473404865 51.41956710858713,-0.29600029916115556 51.419572167023205,-0.29585873596337886 51.41931304342998,-0.2957903419401394 51.41918776474528,-0.2957807050312387 51.41917275205024,-0.29577126720747166 51.41915243044261,-0.29574086638799263 51.419102064262624,-0.29571404876710483 51.4190464320932,-0.29567910273626674 51.418981128156915,-0.29536562876497674 51.4190955389974,-0.29521481510883973 51.41913052465685))"
0a08d3a1-9aff-4199-a8fc-f6343711792e,"LINESTRING (-0.032759793714864364 51.35823274286565,-0.03252534144225073 51.35823765809715,-0.03218626214490691 51.35828736308623,-0.03213111194356433 51.35829714687617,-0.03183674390777457 51.35834147219711,-0.03149250587168397 51.35840561039889)"
0b0c4fdd-4a16-40fa-b1c0-60f30d7e5203,"LINESTRING (0.06599109752926058 51.489325031045055,0.06620121335332446 51.48939043317308,0.06639541245471982 51.489453453561666,0.06646293300459621 51.489477931857174,0.06660105735684313 51.48952485736609,0.066753490831037 51.48957350622525)"
0c46c7fc-3dd4-4a73-b4f3-79bd875dca06,"LINESTRING (0.049785282234610165 51.448095319549616,0.04951655805259468 51.447992741987356)"
0d321dc5-b0ac-44df-80a8-604ebfafbecf,"LINESTRING (-0.10884276389085408 51.52380147176289,-0.10805496582017307 51.52348382843597,-0.1073346598539381 51.523101138177246,-0.10673912273936866 51.52283435051932,-0.10645003294199538 51.522704770142,-0.106314821460298 51.52269891319749,-0.10611288856661726 51.522739741209115,-0.10589192804736178 51.52281332703985,-0.10446756011635329 51.523359786313655,-0.10648230163053105 51.52504928427398,-0.10754163810477514 51.52450058742072,-0.10825136736367226 51.52414463728323,-0.10859369417577688 51.523984828264304,-0.10884306824918197 51.523794128691726)"
0df21cbd-0549-45a7-8bfb-f2b919ec2994,"LINESTRING (-0.414955766358171 51.4919212816984,-0.4149971800917314 51.49170341194161)"
0e195fcf-8208-41ee-b056-a2327cf288fc,"LINESTRING (-0.10521271740244953 51.47428294206404,-0.10516295367532191 51.47433439483693,-0.10509369259086276 51.47439035621564,-0.10500513375201721 51.47444600567371,-0.10490123498543247 51.47449899617797,-0.10482518627921325 51.47453233701005,-0.1047677810455655 51.47455070402667)"
