ResourceID,Geometry
05d9d239-cf6b-42e6-b9dc-f43fb7e20229,"MULTIPOINT ((-0.06812875109168709 51.59860718351896),(-0.11005958755663525 51.59722235299643))"
05e135b9-1d1f-4020-a5bb-4c5026c54f2d,"MULTIPOINT ((-0.18105212628507003 51.558597538883156),(-0.1807924573454057 51.5578741124219),(-0.17964982381607528 51.55758661858648),(-0.18167183235841283 51.557528042913475))"
0613d4df-69cf-426a-901d-f434a33f365c,"MULTIPOINT ((0.05883974115166603 51.404631132671184),(0.03840661717127572 51.39779395742986))"
062a2967-798b-4433-a751-5ca71fb69aa4,"MULTIPOINT ((-0.15191646196907954 51.38386334053607),(-0.15049836099800085 51.38339134550865),(-0.1512345712131732 51.382953331482604),(-0.1541612072770446 51.38165055961332),(-0.1491600683698003 51.380942226363054))"
064e9bbf-0849-4d04-9c3b-e35ad739891b,"MULTIPOINT ((-0.09388196224564077 51.50073960371104),(-0.07571290953295201 51.487403306984))"
066bf415-c7e9-44c7-b456-6ce8d36787fa,"MULTIPOINT ((-0.0975309377980623 51.370097810751005),(-0.09690701916736276 51.369898822952635),(-0.0972232601405034 51.36989496777237),(-0.09686878424190883 51.36978129263236),(-0.09748727779837232 51.369764361531594))"
068e0a32-c732-41d6-8e58-604509b4b7fd,"MULTIPOINT ((0.006789142521192637 51.39142463704831),(0.0067892207832009055 51.39131317397263))"
069e0f95-3c08-4930-a0e6-dbf03f11c561,"MULTIPOINT ((-0.2758098413578757 51.379726513917525),(-0.2752623596477914 51.3789990346665),(-0.2762744338064059 51.37883407260006),(-0.279036866192047 51.377975397423384),(-0.2786228627211697 51.3775196754289))"
06d0db66-a528-4f6e-9642-6958796ed39c,"MULTIPOINT ((-0.017882164699826928 51.50892179677248),(-0.022202327322607678 51.508994757921734),(-0.022215958177408714 51.50868023293042),(-0.01976982680956938 51.50859397767335),(-0.01805934235310523 51.50816038617109))"
06eb7b4b-c5a4-4ec8-93cf-dcf08d7ebd99,"MULTIPOINT ((-0.14207860363587982 51.590989419228116),(-0.14910404545093764 51.57086739025323))"
07100032-1118-4087-926d-e5f5e1aa50e4,"MULTIPOINT ((-0.3065462786360143 51.483274541232454),(-0.3066199122034383 51.48323064384291),(-0.30648029225171114 51.483111720681755),(-0.3065529346171625 51.48309478205747))"
0734ef4f-674d-460f-bf87-b113a5112cf4,"MULTIPOINT ((-0.060990989718120114 51.518635224796284),(-0.058472096868965984 51.50330598039344))"
0741de56-e662-4928-ae99-d6e9c6beeb54,"MULTIPOINT ((0.13377022866751623 51.52226737018624),(0.14181086317361516 51.52158131227074),(0.13245857442460565 51.518873867640046),(0.13920665509815852 51.51830140917301))"
0769dfab-060d-4b70-8377-2767ced76fca,"MULTIPOINT ((-0.10740524217658047 51.52209161557555),(-0.13026876532625634 51.51643308879513))"
07731b4a-71c7-49c4-986e-752b2dcaffa0,"MULTIPOINT ((-0.07361727628879569 51.32846561613573),(-0.07390792089949967 51.32838046845184))"
07923353-2f73-4b37-bcc0-337e26c90e74,"MULTIPOINT ((-0.07430026524729365 51.63359972308265),(-0.07358206904921862 51.63349801035349),(-0.07463100006022516 51.632615957740335),(-0.07624604055375919 51.632012968746494),(-0.07481732464557278 51.63162982813826))"
07ab1200-6a58-4aec-bd81-faa3a6cad783,"MULTIPOINT ((-0.34850849602270967 51.48385488158789),(-0.3567438466811534 51.483134271664376))"
07ad05aa-16aa-46b8-9cba-c07791eed805,"MULTIPOINT ((-0.09611184005180048 51.51291608411913),(-0.09597156502112024 51.51282387921781))"
081d570f-db76-4fbd-a35e-36782d581f6d,"MULTIPOINT ((-0.2758098413578757 51.379726513917525),(-0.2752623596477914 51.3789990346665),(-0.2762744338064059 51.37883407260006),(-0.279036866192047 51.377975397423384),(-0.2786228627211697 51.3775196754289))"
0823eb88-97bd-4f7d-b313-ae5f8b24c2cb,"MULTIPOINT ((-0.1253822165921172 51.502056652497046),(-0.1251163746004491 51.5015128371049),(-0.12469177736856676 51.5013261950432),(-0.12470285073573652 51.5010565917109),(-0.1254228044531114 51.501068100917244))"
08404424-1e07-43db-b7e9-f063275b41c9,"MULTIPOINT ((0.1811027577600681 51.6158686148719),(0.18105945761885245 51.61586941892287),(0.1812651730500438 51.615640775584595),(0.18147519765741119 51.61550197986999),(0.18118655309456297 51.61550734040581))"
0877ec69-013d-442b-aea9-7ffec47bd14b,"MULTIPOINT ((-0.4416128175042127 51.515766636157586),(-0.4408956005621872 51.5156671797965),(-0.44134004037915586 51.515313396703405),(-0.4417722112135802 51.51531914054108),(-0.44091401704348004 51.5151278894232),(-0.44149636675240594 51.51495578739775))"
