ResourceID,Event Type
0415e961-97e5-49fd-87f1-fe0c5c3a234d,Excavation
0419c16a-1823-49fb-a275-dff82fda9a1a,Excavation
0422fe96-d37f-41a1-aa85-53af700020e9,Watching Brief
042b194c-ba2a-411a-833e-7cbf774227a4,Desk Based Assessment
042be679-a621-4ecb-92c5-7aa780848e81,Casual Observation
042da035-5437-4fbd-b5aa-462a8251ff96,Watching Brief
042f1a6b-2309-435d-98c0-784b641c4bd4,Watching Brief
0430070f-0dec-47f4-a287-1418bc09417c,Desk Based Assessment
04341fb0-cfdb-412d-b7fc-559bdf601b3b,Open Area Excavation
0437a86d-55ba-4561-826c-5750ce2f08a7,Desk Based Assessment
04411ae5-d275-4fa2-8c17-e976840d19b9,Trial Trench
0447dc02-3f27-40d5-83a9-e43696c87eb0,Excavation
0455bd9b-d9dc-4ae3-9069-71645c22c0c0,Watching Brief
046855ab-370e-4a62-9a20-6e24578fecd9,Watching Brief
0470d7db-2d51-4890-80e2-103ef0d79e5d,Excavation
0470d7db-2d51-4890-80e2-103ef0d79e5d,Watching Brief
04750a56-b327-4b49-8f6d-2f39df70a59c,Casual Observation
047c4bd0-c342-4971-b26a-c0a61be1ae0d,Watching Brief
047e48a7-4110-499f-9da6-ab7ce33e0e26,Desk Based Assessment
048096df-3f58-4335-a6bd-63cc0b7166d1,Strip Map And Sample
04884044-78de-45a1-b307-d2a8c31a4cee,Trial Trench
0496abd6-6782-47f2-97b3-3f25e996f786,Desk Based Assessment
0499adf8-614b-4073-b3d1-075d7d7177e5,Trial Trench
049e90a0-6b1c-45ac-bc38-e4cc8f25d21f,Open Area Excavation
04a2a818-6feb-41e5-9c0e-5ede545f6f4a,Watching Brief
04aaad80-eceb-4da3-ab0b-4a1c428fa035,Open Area Excavation
04af64f2-4b73-40ab-be4e-992504a8644c,Watching Brief
04afcdb9-0124-4da2-a8f6-4c076213b7c0,Desk Based Assessment
04b4c7b2-016e-403d-99c4-4b1040947b17,Desk Based Assessment
04b4cb49-12e2-4a1e-b7b3-17e275b9986f,Watching Brief
04ba1b69-2d82-4242-80de-d8dc2e542064,Watching Brief
04c7e147-2ca9-43bb-8e54-8d95e8f8167a,Watching Brief
04c95d06-b81d-4d92-8083-66f66032fda2,Desk Based Assessment
04cd04b4-92b1-4aba-bfeb-e8db40325228,Evaluation
04d25cd0-9aa2-4230-a4ce-22e4d02dcd7a,Excavation
04d6d764-35fe-4e17-af51-8fd6ff137d27,Open Area Excavation
04d995fe-9675-4cd6-b6ea-13f6c1950b3a,Excavation
04e04ad5-a24a-4453-b8d5-b80ffe0e947b,Desk Based Assessment
04e29d8c-2969-499c-8d23-ea1da11287d2,Metal Detecting Use
04e4bf1b-e858-485f-aece-3d3df473de10,Desk Based Assessment
