ResourceID,Location Description,Location Description Type
042be679-a621-4ecb-92c5-7aa780848e81,High Street (The Bottleneck),Primary
04411ae5-d275-4fa2-8c17-e976840d19b9,Foots Cray Meadows,Primary
0447dc02-3f27-40d5-83a9-e43696c87eb0,"Summerton Way, Thamesmead, Bexley",Primary
046855ab-370e-4a62-9a20-6e24578fecd9,"Distaff Lane, City of London, EC4",Primary
047c4bd0-c342-4971-b26a-c0a61be1ae0d,"New River Head Heritage Site, Amwell Street/Rosebery Avenue, Islington, EC1",Primary
047e48a7-4110-499f-9da6-ab7ce33e0e26,"Land at Stewart's Lane Depot, Silverthorne Road, Battersea, SW8",Primary
048096df-3f58-4335-a6bd-63cc0b7166d1,"Perry Street, Crayford, Bexley",Primary
048096df-3f58-4335-a6bd-63cc0b7166d1,"Manor Road, Crayford, Bexley",Primary
0496abd6-6782-47f2-97b3-3f25e996f786,"Tweeddale Road, St Helier, Sutton, SM5",Primary
0499adf8-614b-4073-b3d1-075d7d7177e5,"Coldstream Gardens, Putney, SW18",Primary
04afcdb9-0124-4da2-a8f6-4c076213b7c0,Albert Embankment,Primary
04b4cb49-12e2-4a1e-b7b3-17e275b9986f,"Tower Hill, Tower Hamlets, EC3",Primary
04ba1b69-2d82-4242-80de-d8dc2e542064,"Havelock Road, Southall, UB2",Primary
04cd04b4-92b1-4aba-bfeb-e8db40325228,"Pinner View, HA2",Primary
04d995fe-9675-4cd6-b6ea-13f6c1950b3a,"Queen Elizabeth Park, East Cross Route, Temple Mills, Newham, E15",Primary
04e04ad5-a24a-4453-b8d5-b80ffe0e947b,North Lambeth Marsh,Primary
04e4bf1b-e858-485f-aece-3d3df473de10,"Spital Square, Spitalfields, Tower Hamlets, E1",Primary
04f59888-c2dc-423e-8903-42153dc9b41b,Crown Lane,Primary
050be329-fe9d-49f8-b4ea-4730768bdcec,"Poverest Road, St Mary Cray, Bromley",Primary
0513ab52-fc1a-46df-bbe0-7c789e8a0a9c,"Barnet Trading Estate, Park Road, High Barnet",Primary
05150f59-bd4c-4e2b-b23e-8f9cbba5f295,"Drury Lane, Westminster",Primary
05150f59-bd4c-4e2b-b23e-8f9cbba5f295,"Dryden Street, Westminster",Primary
05150f59-bd4c-4e2b-b23e-8f9cbba5f295,"Arne Street, Westminster",Primary
05150f59-bd4c-4e2b-b23e-8f9cbba5f295,"Shelton Street, Westminster",Primary
053a3752-58dc-4137-ae5c-9952a09e6cfd,"Dagmar Avenue, Wembley, Brent",Primary
053a3752-58dc-4137-ae5c-9952a09e6cfd,"Wembley Hill, Wembley, Brent",Primary
0542b95c-002a-4a76-b0f1-2a80a387007f,"Queens Road, Teddington",Primary
054a85fb-393c-4b8c-bd13-9ad7a3f2bbda,"Iron Mill Lane, Crayford, Bexley",Primary
054ba3ca-2c9b-4f9e-945c-2f727f65de92,"Kingscote Street, City of London, EC4",Primary
054d7091-2d43-47bb-90d6-37b5c83799e5,Russell Hill,Primary
0558bb27-d0d9-40e1-a0a8-1bb899cf1999,"Broadway, Rainham, Havering",Primary
0558bb27-d0d9-40e1-a0a8-1bb899cf1999,"Upminster Road South, Rainham, Havering",Primary
056313a2-8895-4aae-af5d-eadb05da32ca,"West Tenter Street, Tower Hamlets, E1",Primary
056313a2-8895-4aae-af5d-eadb05da32ca,"Scarborough Street, Tower Hamlets, E1",Primary
056313a2-8895-4aae-af5d-eadb05da32ca,"St Mark Street, Tower Hamlets, E1",Primary
056313a2-8895-4aae-af5d-eadb05da32ca,"South Tenter Street, Tower Hamlets, E1",Primary
0568a85e-c22d-4789-923e-7c6241616f76,"Magazine Police Yard, Kensington Gardens, W2",Primary
05777025-af03-4362-90d8-580ace052abf,"Goring Street, City of London, EC3",Primary
05777025-af03-4362-90d8-580ace052abf,"Houndsditch, City of London, EC3",Primary
057dbc81-1425-4cb2-a4fe-88cfc9c78697,"Fleet Road, Hampstead, Camden, NW4",Primary
05846b6d-9c23-4a81-9c77-b502da884a2b,Tooting Bec Gardens,Primary
05861a34-6a49-4daf-8435-e678c42fa72a,Farthing Down,Primary
05977fa3-1cbf-4894-9797-71a6145f514f,"The Grange, Bermondsey, Southwark, SE1",Primary
05a132fd-a8d9-471e-aef1-2728eb3ca8b3,"Old England, Brentford",Primary
05a2ab1e-5003-4eea-a635-201395f6de62,"Snakes Lane, Trent Park, Enfield",Primary
05a5fbaa-070f-4287-a0f1-f3c0eda08cf3,"Buckhurst Street, Tower Hamlets, E1",Primary
05e8540b-2481-4e80-976f-47cc929f842f,"Burleigh Street, City of Westminster, WC2",Primary
05f966c2-3f86-45d1-a630-47f78f94ef78,"Arbitration Hall, City of London, EC3",Primary
05fe7cb1-0da0-41fb-990f-a1dc4ad9e3fc,"Surrey Row, Southwark",Primary
05fe7cb1-0da0-41fb-990f-a1dc4ad9e3fc,"Pocock Street, Southwark",Primary
061888fe-9402-4afc-91c4-cd895a4d20cc,Sunny Gardens Road,Primary
061aad33-5457-4edf-a3ff-6b57856b560f,"Osiers Road, Wandsworth, SW18",Primary
061b6a36-251c-4c5b-a2f6-643d9957f97b,"Trafalgar Grove, [Land adjacent to Reade House], Greenwich, SE10",Primary
064041e5-b7c2-40ba-b420-b4f37d8d69dc,"Land at Pegasus Road, Imperial Way, Croydon",Primary
06518f58-a66f-46b2-9d60-9acd0086722c,"Aspen Way, E14",Primary
065c4c6b-2770-40aa-af59-97de7f5be561,"Stonewood Road, Erith, Bexley, DA8 1GZ",Primary
065f4e41-8ca1-411d-8b09-bb1ce4213a26,"New Guy's House Car Park - Guy's Hospital, St Thomas Street, Great Maze Pond, Southwark, SE1",Primary
067cd407-9e44-4a80-8a30-23a07b41b3c2,Kennington Road,Primary
067eb3f6-2fb7-4c8a-b0ed-2d330195250c,"Burford Wharf, Burford Road, Stratford, E15",Primary
0689bac2-5d1a-47b4-a4a6-1acd0066ab7e,"Old Kent Road, Southwark",Primary
069d4f9e-9b31-4170-a53d-d70e65e8c2dc,"The Gallop, Carshalton",Primary
06a25fce-e954-4f6a-8687-7a0f6ff717d8,"Hay's Wharf, Abbots Lane, Tooley Street, Southwark, SE1",Primary
06b87895-e5ef-45c0-bc55-a0f6b13c7aa6,"Victoria Dock Road, Newham, E16",Primary
06c9ac8d-e2bd-4568-b2d5-447eecf23fdd,"Thames Foreshore, Hounslow",Primary
06d8e3a6-fc46-4f7f-8d22-00adacf8da02,"Clapham Park Housing Estate, Lambeth",Primary
06e53c40-60c8-4ff6-8b1b-fd3f8c0fce3e,"Temple Avenue, EC4",Primary
06e53c40-60c8-4ff6-8b1b-fd3f8c0fce3e,"Tudor Street, EC4",Primary
06e53c40-60c8-4ff6-8b1b-fd3f8c0fce3e,"Tallis Street, EC4",Primary
06e53c40-60c8-4ff6-8b1b-fd3f8c0fce3e,"Carmelite Street, EC4",Primary
06eb7a47-baf7-4c79-aeab-2ffabe2502ea,"Lichfield Gardens, Richmond, TW9",Primary
