ResourceID,External Cross Reference Source,External Cross Reference Number
049e90a0-6b1c-45ac-bc38-e4cc8f25d21f,Site Code,WSS94
04a2a818-6feb-41e5-9c0e-5ede545f6f4a,Site Code,HDI07
04a2a818-6feb-41e5-9c0e-5ede545f6f4a,OASIS ID,preconst1-34176
04aaad80-eceb-4da3-ab0b-4a1c428fa035,Site Code,BPL95
04af64f2-4b73-40ab-be4e-992504a8644c,Site Code,DFU06
04b4cb49-12e2-4a1e-b7b3-17e275b9986f,Site Code,TOK95
04ba1b69-2d82-4242-80de-d8dc2e542064,Site Code,HCK00
04c7e147-2ca9-43bb-8e54-8d95e8f8167a,Site Code,RLH01
04cd04b4-92b1-4aba-bfeb-e8db40325228,Site Code,HN572
04cd04b4-92b1-4aba-bfeb-e8db40325228,OASIS ID,heritage1-12960
04cd04b4-92b1-4aba-bfeb-e8db40325228,OASIS ID,heritage1-71381
04d25cd0-9aa2-4230-a4ce-22e4d02dcd7a,Site Code,CXH04
04d6d764-35fe-4e17-af51-8fd6ff137d27,Site Code,SYP03
04d6d764-35fe-4e17-af51-8fd6ff137d27,OASIS ID,wessexar1-16457
04d995fe-9675-4cd6-b6ea-13f6c1950b3a,Site Code,OL-6507
04d995fe-9675-4cd6-b6ea-13f6c1950b3a,OASIS ID,preconst1-58261
04fe5f49-ce93-48eb-be4e-396344419031,Site Code,HPH05
04fe5f49-ce93-48eb-be4e-396344419031,OASIS ID,molas1-10312
050fd008-3d68-4ce4-b54e-2eb5a27cb0f1,Site Code,KSM08
0513ab52-fc1a-46df-bbe0-7c789e8a0a9c,Site Code,PBE07
0513ab52-fc1a-46df-bbe0-7c789e8a0a9c,OASIS ID,lparchae1-36401
051f6208-b080-4464-9d62-63812f18ed13,Site Code,CNS94
053a3752-58dc-4137-ae5c-9952a09e6cfd,Site Code,GMW91
053df641-4f8f-442d-97a2-ad59fa7d2f2e,Site Code,FHE00
0542b95c-002a-4a76-b0f1-2a80a387007f,Site Code,NPL98
05475d63-2100-485e-9573-9fc0939d4c95,Site Code,UX85VI
054b30ba-3366-4c8c-8068-3e071915b720,Site Code,KEL00
054ba3ca-2c9b-4f9e-945c-2f727f65de92,Site Code,KSC77
05579c5d-99d4-4734-86be-97b07cd9b5ba,Site Code,KXS01
05579c5d-99d4-4734-86be-97b07cd9b5ba,OASIS ID,molas1-35845
056313a2-8895-4aae-af5d-eadb05da32ca,Site Code,WTN84
0568a85e-c22d-4789-923e-7c6241616f76,Site Code,KGN00
05777025-af03-4362-90d8-580ace052abf,Site Code,GGT06
05784947-34db-4831-a076-a59faddf31c5,Site Code,FGH06
05784947-34db-4831-a076-a59faddf31c5,OASIS ID,preconst1-15489
058c419c-08e0-40ea-90da-b77de1ab005b,Site Code,GVN97
05977fa3-1cbf-4894-9797-71a6145f514f,Site Code,RCI07
05977fa3-1cbf-4894-9797-71a6145f514f,OASIS ID,preconst1-41985
059a2647-5bb1-4c3e-98e7-f84d39169b7b,Site Code,LNE00
05a5fbaa-070f-4287-a0f1-f3c0eda08cf3,Site Code,BGZ05
05adab1e-2b8c-4ca2-90a6-1be66ba90d42,Site Code,TOL6
05bc1aa9-e38b-408c-a6a1-dd6acd465132,Site Code,EPT12
05bc1aa9-e38b-408c-a6a1-dd6acd465132,OASIS ID,preconst1-132774
05d015c0-a80b-41fc-a632-4e1d8e05e525,Site Code,ISA13
05d015c0-a80b-41fc-a632-4e1d8e05e525,OASIS ID,aocarcha1-164883
05df7d0a-8aae-4dec-90d5-f0c36354248d,Site Code,DCN16
05df7d0a-8aae-4dec-90d5-f0c36354248d,OASIS ID,molas1-279744
05df7d0a-8aae-4dec-90d5-f0c36354248d,Site Code,DCN16
05dfc0d2-0714-4290-a5b8-a71528172c46,Site Code,BRB02
05e8540b-2481-4e80-976f-47cc929f842f,Site Code,ERT95
05e9a768-b8da-4d53-8508-82946024f293,Site Code,BRU92
05f09401-d0f9-432b-b08c-10559bfdca51,Site Code,WMD08
05f09401-d0f9-432b-b08c-10559bfdca51,OASIS ID,wessexar1-42582
05f966c2-3f86-45d1-a630-47f78f94ef78,Site Code,CRH85
0609b43d-0b8b-4d56-b7d8-93e5589db7a2,Site Code,DLW93
061b6a36-251c-4c5b-a2f6-643d9957f97b,Site Code,TFL06
061bd779-a501-4c12-b180-c85888a38ef7,Site Code,"OL-02107, OL-06207"
061bd779-a501-4c12-b180-c85888a38ef7,OASIS ID,preconst1-38199
06238191-72b7-4111-adc9-2a9c4b37facc,Site Code,SRBM 16
