ResourceID,Legacy ID,Full Address,Building Name,Building Number,Street,Locality,Town or City,Postcode,Address Status,Address Currency,Area Name,Area Type,Area Currency Type,Reference Number,Reference Number Type,Location Description,Name,Name Use Type
f98522ca-60d6-1e21-340a-4d4c5afa6d76,DALO03309,"22 - 28  Featherstone Road, Southall London UB2 5AB",,22 - 28, Featherstone Road,Southall,London,UB2 5AB,Primary,Current,Ealing,Borough,Current,PP/2015/6723,External Reference,,"22-28 Featherstone Road, Southall UB2 5AB",Primary
f99aa2ed-96bf-4446-62e0-e24362fc14d2,DALO02042,"2 - 6  Greenhill's Rents, London EC1M 6BW",The Smokery,2 - 6, Greenhill's Rents,,London,EC1M 6BW,Primary,Current,Islington,Borough,Current,P2017/2155/FUL,External Reference,,The Smokery 2 - 6 Greenhill's Rents London EC1M 6BW,Primary
f9a6bd22-1dd7-3af5-0e9f-49daa4a2834a,DALO02272,"2 - 8   Rutland Gate, London SW7 1PJ",,2 - 8,  Rutland Gate,,London,SW7 1PJ,Primary,Current,City of Westminster,Borough,Current,17/07478/FULL,External Reference,,2 - 8 Rutland Gate London SW7 1PJ,Primary
f9afdcce-7ef3-9d37-02c8-38a129bf4e53,DALO03734,"14-16   Rowe Lane, London E9 6EL",,14-16,  Rowe Lane,,London,E9 6EL,Primary,Current,Hackney,Borough,Current,2016/3868,External Reference,,14-16 Rowe Lane London E9 6EL,Primary
f9b3bb98-97c7-17e2-3dc0-d7fc309a53f3,DALO05184,"30   Croydon Road, Croydon London CR0 4P",,30,  Croydon Road,Croydon,London,CR0 4P,Primary,Current,Croydon,Borough,Current,16/00931/P,External Reference,,"30 Croydon Road, Croydon, CR0 4P",Primary
f9cd07d7-a72a-49c3-1ccd-f8d0ad1e6412,DALO02933,"9   WEST VIEW, Feltham London TW14 8PP",,9,  WEST VIEW,Feltham,London,TW14 8PP,Primary,Current,Hounslow,Borough,Current,P/2017/1358,External Reference,,9 WEST VIEW FELTHAM TW14 8PP,Primary
f9d0b2a7-a2d8-34c2-47d5-eded64784c72,DALO05186,"12   Streatham Common South, London SW16 3BT",,12,  Streatham Common South,,London,SW16 3BT,Primary,Current,Lambeth,Borough,Current,15/02317/F,External Reference,12 Streatham Common South,12 Streatham Common South London SW16 3BT,Primary
f9f9c2af-8e5a-37a8-8581-e0e758135e7b,DALO00313,"The Stables, Beckton, London E16 2AL",The Stables,,,Beckton,London,E16 2AL,Primary,Current,Newham,Borough,Current,12/01676/FUL,External Reference,,"The Stables, Stansfeld Road",Primary
fa210d0d-2919-7076-669f-dad52dbe32f5,DALO03453,"38   Dunnock Road , Beckton London E6 5SX",,38,  Dunnock Road ,Beckton,London,E6 5SX,Primary,Current,Newham,Borough,Current,15/03389/HH,External Reference,,"38 Dunnock Road, Beckton, London, E6 5SX",Primary
fa51dfe6-a3a6-7210-3595-6432af6d309e,DALO02671,"86   Reighton Road, Hackney London E5 8SG",,86,  Reighton Road,Hackney,London,E5 8SG,Primary,Current,Hackney,Borough,Current,2017/2180,External Reference,,"86 Reighton Road
Hackney
London
E5 8SG",Primary
fa5617f9-009b-8ef1-3d0e-797edf398661,DALO04774,"51   Clova Road, Forest Gate London E7 9AQ",,51,  Clova Road,Forest Gate,London,E7 9AQ,Primary,Current,Newham,Borough,Current,16/01305/HH,External Reference,,51 Clova Road,Primary
fa57fb2a-2bff-8e0b-0f0f-7ee4782ca425,DALO00010,"1   Fairfield Road, Ilford London IG1 2JL",,1,  Fairfield Road,Ilford,London,IG1 2JL,Primary,Current,Redbridge,Borough,Current,,,,"1, Fairfield Road, Ilford, IG1 2JL",Primary
fa581fff-85e7-09ba-2583-b0f5acbe3389,DALO03127,"18   Newington Green, Islington London N16 9PU",,18,  Newington Green,Islington,London,N16 9PU,Primary,Current,Islington,Borough,Current,P2017/0570/FUL,External Reference,,"Garden Flat, 18 Newington Green, Islington, London, N16 9PU",Primary
fa5dd9ae-0b61-1368-21a2-d917b2670aa1,DALO04647,"Riverside Guard House East, Woolwich, London SE18",Riverside Guard House East,,,Woolwich,London,SE18,Primary,Current,Greenwich,Borough,Current,15/2869/F,External Reference,,RIVERSIDE GUARD HOUSE EAST (BUILDING 54),Primary
fa5fcd52-0fb7-246c-9f21-2f7b056a5d85,DALO01807,"The Gate House 230B  Grange Road, Plaistow London E13 0HG",The Gate House,230B, Grange Road,Plaistow,London,E13 0HG,Primary,Current,Newham,Borough,Current,14/01753/FUL,External Reference,"Land Adjacent To 230, Grange Road, Plaistow, London, E13",Land Adjacent To 230 Grange Road Plaistow London,Primary
fa73877c-3763-17e7-9bbd-03193fffa182,DALO00059,"101   Cheyne Walk, London SW10 0DQ",,101,  Cheyne Walk,,London,SW10 0DQ,Primary,Current,Kensington and Chelsea,Borough,Current,LB/15/02023,External Reference,,101 Cheyne Walk,Primary
fa806546-61fd-2147-0c33-3a4e3d1e5dbc,DALO00531,"89   High Street, Cranford London TW5 9RX",,89,  High Street,Cranford,London,TW5 9RX,Primary,Current,Hounslow,Borough,Current,P/2018/2336,External Reference,,89 High Street CRANFORD  London TW5 9RX,Primary
fa99d24e-2592-5e50-7fbf-5a880dc1a70b,DALO04185,"The Britannia Village Hall, London E16 1TU",The Britannia Village Hall,,,,London,E16 1TU,Primary,Current,Newham,Borough,Current,14/01229/FUL,External Reference,,Oasis Academy School Silvertown The Britannia Village Hall 65 Evelyn Road Silvertown London E16 1TU,Primary
fab0aa77-40cb-115f-0874-e67d2a2539f7,DALO02007,"Channelsea Business Centre, Stratford, London E15 3ND",Channelsea Business Centre,,,Stratford,London,E15 3ND,Primary,Current,Newham,Borough,Current,15/00567/FUL,External Reference,Land Fronting Channelsea House Canning Road Stratford London,"Channelsea House, 20 Canning Road, Stratford, London, E15
3FA",Alternative
fabecba7-62c5-1f58-7f9e-39a46a250d1c,DALO02813,"1   Ingrave Street, London SW11 2SD",Inkster House,1,  Ingrave Street,,London,SW11 2SD,Primary,Current,Wandsworth,Borough,Current,2017/1893,External Reference,,Inkster House 1 Ingrave Street SW11 2SD,Primary
fad2d2f8-8c17-82bd-24c5-ac160a6783a3,DALO04639,"29   Manor Way, South Croydon London CR2 7BT",,29,  Manor Way,South Croydon,London,CR2 7BT,Primary,Current,Croydon,Borough,Current,16/02798/P,External Reference,,"29 Manor Way, South Croydon, CR2 7BT",Primary
fae01322-162e-4d5a-8421-3663ecf31997,DALO04720,"191   Brighton Road, South Croydon London CR2 6EG",,191,  Brighton Road,South Croydon,London,CR2 6EG,Primary,Current,Croydon,Borough,Current,16/01224/P,External Reference,,"191 Brighton Road, South Croydon, CR2 6EG",Primary
fae3594a-18b8-3529-1095-f3943537939d,DALO03710,"Hospital & Tuition Centre Drapers Centre, Carshalton, London SM5 4NR",Hospital & Tuition Centre Drapers Centre,,,Carshalton,London,SM5 4NR,Primary,Current,Sutton,Borough,Current,C2014/69511,External Reference,Drapers Centre MONKEY PUZZLE WAY ,Drapers Centre MONKEY PUZZLE WAY SM5 4NR,Primary
fb1e0aba-6a0e-97af-4098-3fcecebc557f,DALO00797,"42   Clapham Manor Street, London SW4 6DZ",,42,  Clapham Manor Street,,London,SW4 6DZ,Primary,Current,Lambeth,Borough,Current,15/02266/FUL & 15/02267/LB,External Reference,,42 Clapham Manor Street London SW4 6DZ,Primary
fb227b0d-0cce-0e35-1fbf-cf440ce07050,DALO01894,"81   Swains Lane, London N6 6PJ",Winter House,81,  Swains Lane,,London,N6 6PJ,Primary,Current,Camden,Borough,Current,,,,"Winter House, 81 Swains Lane, London, N6 6PJ",Primary
fb28a99f-45d1-67a8-7ff0-130cfa4f4f31,DALO05905,"77   South Lambeth Road, Lambeth London SW18 1RJ",,77,  South Lambeth Road,Lambeth,London,SW18 1RJ,Primary,Current,Lambeth,Borough,Current,15/05211/ADV,External Reference,,"77 South Lambeth Road, London, Lambeth SW18 1RJ",Primary
fb3b4648-99a3-27af-200e-ce05b9c81cf9,DALO01884,"172   High Street, Hounslow London TW3 1BQ",,172,  High Street,Hounslow,London,TW3 1BQ,Primary,Current,Hounslow,Borough,Current,P/2017/0858,External Reference,,172 High Street Hounslow London TW3 1BQ,Primary
fb746f14-292e-18b4-7018-74e260fe3609,DALO03375,"58   Norcott Road, London N16 7EL",,58,  Norcott Road,,London,N16 7EL,Primary,Current,Hackney,Borough,Current,2017/0047,External Reference,,"58 Norcott Road
London N16 7EL",Primary
fb749330-3fa2-1121-8b78-a86afd1976d5,DALO05774,"Fulham Town Hall, London SW6 1ER",Fulham Town Hall,,,,London,SW6 1ER,Primary,Current,Hammersmith and Fulham,Borough,Current,2015/04022/FUL & 2015/04023/LBC,External Reference,,Lambeth Town Hall Brixton Hill London Lambeth SW2 1RW,Primary
fb8beaf3-121e-2ef3-6734-6c2f34c715ff,DALO02126,"Chase Farm Hospital, London EN2 8JL",Chase Farm Hospital,,,,London,EN2 8JL,Primary,Current,Enfield,Borough,Current,14/04323/SO,External Reference,"Land adjacent Chase Farm Hospital, Enfield",Chase Farm Hospital The Ridgeway EN2 8JL,Primary
fb9b76a6-51fe-3a88-7488-5ef60e436c48,DALO02264,"109  Finsbury Pavement, London EC2A 1LB",,109, Finsbury Pavement,,London,EC2A 1LB,Primary,Current,Islington,Borough,Current,P2015/0807/ADV,External Reference,"20 Ropemaker Street, 101-117 Finsbury Pavement and 10-12 Finsbury Street, London, EC2Y,9AR",Lloyds TSB Bank,Alternative
fbb78210-2176-947e-78cf-f95577e5326f,DALO05480,"60   Charlemont Road, East Ham London E6 6HL",,60,  Charlemont Road,East Ham,London,E6 6HL,Primary,Current,Newham,Borough,Current,14/00313/HH,External Reference,"Rear Of, 60 Charlemont Road, East Ham, London, ","Rear Of, 60 Charlemont Road, East Ham, London, E6 6HL",Alternative
fbdcbef5-8a3a-616f-2f3b-fd5ca7b42c6e,DALO03663,"49   Marlow Road, East Ham London E6 3QG",,49,  Marlow Road,East Ham,London,E6 3QG,Primary,Current,Newham,Borough,Current,16/03353/HH,External Reference,,"49 Marlow Road, East Ham, London, E6 3QG",Primary
fbe1b723-3a76-35f8-3175-9c0266c41f01,DALO02731,"52   Sisters Avenue , London SW11 5SN",,52,  Sisters Avenue ,,London,SW11 5SN,Primary,Current,Wandsworth,Borough,Current, 2016/6699,External Reference,,52 Sisters Avenue SW11 5SN,Primary
fbebbcf4-74e3-9c50-7b8b-fcdf7225232a,DALO06090,"38   Ladbroke Grove, London W11 2PA",,38,  Ladbroke Grove,,London,W11 2PA,Primary,Current,Kensington and Chelsea,Borough,Current,PP/15/05052,External Reference,,"Flat 2, 38 Ladbroke Grove",Primary
fbf1080a-0a91-9470-8f10-50768d9189a3,DALO02912,"32   SPINNEY DRIVE, Feltham London TW14 8PW",,32,  SPINNEY DRIVE,Feltham,London,TW14 8PW,Primary,Current,Hounslow,Borough,Current,P/2017/1620,External Reference,,32 SPINNEY DRIVE FELTHAM London TW14 8PW,Primary
fbf3fa12-2c4f-5f51-2580-342cad4b90c6,DALO03481,"5  Sycamore Street, London EC1Y 0SR",Sycamore House,5, Sycamore Street,,London,EC1Y 0SR,Primary,Current,Islington,Borough,Current,P2016/4807/FUL,External Reference,,"Sycamore House, 5 Sycamore Street, London, EC1Y 0SR",Primary
fc069733-2fb3-95a7-1655-4781b5cc2df3,DALO02158,"109   Ebury Street, London SW1W 9QU",,109,  Ebury Street,,London,SW1W 9QU,Primary,Current,City of Westminster,Borough,Current,17/08440/LBC,External Reference,,109 Ebury Street London SW1W 9QU,Primary
fc0d00df-a1f1-97b1-094b-5b13f9a49d36,DALO04591,"71   Prince Regent Lane, Plaistow London E13 8RW",,71,  Prince Regent Lane,Plaistow,London,E13 8RW,Primary,Current,Newham,Borough,Current,16/01447/FUL,External Reference,,71 Prince Regent Lane,Primary
fc2db891-4fe0-3850-73c4-c004b0f40167,DALO01338,"Waterworld, Enfield, London EN1 4SF",Waterworld,,,Enfield,London,EN1 4SF,Primary,Current,Enfield,Borough,Current,,,Kingswood Nurseries Bullsmoor Lane Enfield ,Kingswood Nurseries Bullsmoor Lane Enfield EN1 4SF,Primary
fc31a629-9d93-4278-0982-403774c2616f,DALO00117,"25  Parker Street, London WC2B 5PA",Parker House,25, Parker Street,,London,WC2B 5PA,Primary,Current,Camden,Borough,Current,2012/6132/P,External Reference,,Parker House 25 Parker Street London WC2B 5PA,Primary
fc42e815-33d7-76d4-7b22-077502451514,DALO01332,"30   Marsh Wall, London E14 9TP",,30,  Marsh Wall,,London,E14 9TP,Primary,Current,Tower Hamlets,Borough,Current,PA/13/01995,External Reference,,"30 Marsh Wall, London, E14 9TP",Primary
fc87f1d2-0b2d-38b1-1017-f9df9b0a3967,DALO02344,"43   Blackford Close, South Croydon London CR2 6BT",,43,  Blackford Close,South Croydon,London,CR2 6BT,Primary,Current,Croydon,Borough,Current,17/02939/FUL,External Reference,,43 Blackford Close South Croydon CR2 6BT,Primary
