ResourceID,Organisation Type,Currency
1e7ca384-27b6-468b-b09e-7315b68cb87c,Developer,Current
1e96721e-c8eb-4fdb-b931-a4349012373b,Architects,Current
1e979aba-dcca-4446-b314-8b58ba429eae,Developer,Current
1f0047ac-c9ee-483a-820d-1df537bccbe2,Other,Current
1f09bc2a-4503-4cfc-8b21-31c6e853022f,University,Current
1f155db6-a314-44bd-aa47-7bb0d219b31a,Solicitors,Current
1f3e6b0f-5be4-4f0e-a952-7377d0381449,Builder,Current
1f6d602d-6bd9-45ff-bec9-131f412b72e5,Developer,Current
1f767067-32c0-4b77-8237-3473342fd69a,Architects,Former
20227bfa-a499-42d2-bb5c-dedb365080f0,Builder,Current
2022a6d4-aaf6-4fd5-8eca-0f47347c6471,Architects,Current
20253653-9ada-4db5-aa1e-cb2317bf32f6,Contractor,Current
20eb6092-5392-4ea2-8ac0-1df4d3467678,Developer,Former
21200273-35af-4f3b-b8a3-4d1609713cb8,Local Government,Former
214e2572-9d43-4ff3-bb82-654dc196f1ab,Consultant,Current
21600018-f959-43be-ad83-6b6c41337414,Developer,Current
218d9a3f-259f-467a-b688-a786b7392808,Architects,Current
21a817ec-d424-4159-9cd9-fa158f7c5b5d,Solicitors,Current
21c0472b-908e-4891-b234-9dbdfd77b124,Local Government,Current
21da149d-d591-4286-9569-bc6ad007325e,Consultant,Current
21e073d3-41bb-42a7-b7f3-4856d2687a4c,Architects,Current
21ea932d-1b26-4c08-8e8a-3973789aa3f1,Developer,Current
22188210-2bf4-4e0c-9443-8d49eb2ed698,Museum,Current
22232cf3-e8a1-41e1-8b54-29c40ab7d5b0,Consultant,Current
2274051c-9432-49bb-a106-0c7297e5deea,Architects,Current
22a08604-5447-4281-81ec-ea74f2242ba1,Developer,Current
22ab8563-9c8c-49d5-8df4-50c4ef5c281b,Contractor,Current
22b81cb8-6edb-4044-a431-610de6287b8c,Architects,Current
22c124ac-6c72-4cd6-883d-7b7dee5b48b1,Developer,Current
22e15f4d-9024-4c04-9b27-fd9acfa39bcc,Contractor,Current
22e53489-f3e7-43c3-b403-34c1f391bccf,Consultant,Current
22fcbcec-64cf-44bc-97d4-741ad4a2989a,Contractor,Current
2310ab28-a37a-498b-b9c7-908be057c061,Architects,Current
2366af65-c847-45ef-a533-7e36c816329f,Contractor,Current
23b2882a-66ac-4553-9357-c984c210e5d8,Contractor,Current
23ed80ca-f49e-4857-a931-205595d9b4f4,Developer,Current
2469248e-f139-4d08-b3bf-12609c1468d6,Architects,Current
2487c732-0aac-4b7e-87b1-15045574f568,Developer,Current
24cc0292-48f5-4a3c-a31a-bd1ba792b1aa,Developer,Current
24e502ab-0aa5-44a7-afc7-be003d6b1bc0,Museum,Current
250aed77-bc34-41ff-9315-4780472a6e77,Architects,Current
250df667-e893-4e56-ab37-407ee7f0cfc1,Other,Current
25271a52-df7b-48f0-a8d5-547f993768e9,Historic,Current
25b754c7-74c5-4579-b00d-88ec70792d37,Architects,Current
25c254be-3e6a-4935-9cd3-888b87ef87c8,Local amateur group,Current
25d39243-e113-4898-9e3d-84560df707d5,Local Government,Former
263038ff-733a-4845-8740-f6952e5a4d94,University,Current
2642fca2-47d5-45e3-82c8-76089aad676d,Developer,Current
266863c8-2c5a-40c4-a982-37c21ec6a298,Developer,Current
26d73e9e-8fc4-4568-8683-9e3170ef64ec,Developer,Current
26d980cb-3d5e-424f-ba81-5ab98942bebf,Local Government,Current
26fdabb2-2327-4cb3-afc4-82bc2ddafde1,Consultant,Current
2747c515-cef4-41d0-bd60-d5742d1c920d,Architects,Current
275aed06-d420-4773-9fcc-a4ddfd291901,Consultant,Current
27fca026-71f3-4c30-ba81-1bb08b614abd,Builder,Current
2802fe57-fe87-455d-afaa-878032315c8c,Consultant,Current
2838e6c3-4a47-4972-82a8-2f32644baec5,Contractor,Current
285c9282-a71d-4593-a1dd-0de072433616,Historic,Former
28953491-51a3-4e33-8c0a-1d592ff78a22,Contractor,Current
28a60b77-30ed-4e85-86e1-44555428fe49,Contractor,Current
28b568d6-0abd-4034-bfed-0bfe86f6bc67,Developer,Current
28ca8220-4d63-4172-9df2-639f6a446f25,Contractor,Former
28dbfb6f-fd3a-4558-9885-64f22a0f9eea,Contractor,Current
28e0adae-8c06-4828-8a11-066758474e63,Consultant,Current
2963b6a6-4c89-4b56-8dd6-566fd578904c,Builder,Former
29811c9e-241e-457a-b6e2-08bbbed5c040,Architects,Current
299dd958-8387-4c90-839a-81a1e557e7f3,Museum,Current
29b30c0d-364f-4d71-8b5a-a75e766ee5d7,Consultant,Current
29fb7d1d-ee23-46c7-b4b7-35962d5426fd,Developer,Current
2a910bac-bed5-4e23-9258-51e2d02ea738,Local amateur group,Current
2b1a4324-800b-4cb2-8bef-d9494898c7ef,Consultant,Current
2b1e90d1-b328-49b9-a2c1-8da92c45ffd6,Developer,Current
2b38cf4b-bbc7-400d-8b05-258363dba060,Other,Current
2b402c3d-7159-4660-8aac-621878ebc501,Developer,Current
2b747e34-8122-41c2-aa11-2f1545281b26,Consultant,Current
2b7da8d7-fe6e-4540-bf32-d7bf5fb28b7c,Developer,Current
2bfe1b4a-9feb-49ea-8b8f-ff6e1dd3bf06,Consultant,Current
2c6c3fe6-2348-4348-965a-62ecc65bc226,Contractor,Current
2c6edcfe-a788-4aa6-942f-2a6c8aac76ea,Developer,Current
2c703f92-94f0-4d7b-95de-6c61337b6cf0,Consultant,Current
2c879d18-8d24-4008-b611-e58c00a2e02b,Other,Current
2c8d4e5d-694a-478b-8a5d-077cbb65584f,Developer,Current
2caca1f9-1d8d-42da-accf-9b390cdc4aac,Architects,Current
2cc252c0-446f-4e04-9fbe-87e5a6965af8,Local Government,Current
2cc47b0b-2564-430a-a2a0-89ca9e7dbeeb,Developer,Current
2d778fcb-dd72-4fa8-9d06-1cb2cc5af5c4,Developer,Current
2d82745e-4a9d-4c96-ab91-d331f0ea48d1,Consultant,Current
2d83ac70-be8e-4d90-b660-7081e618880b,Developer,Current
2d8accd3-482d-41cd-a0c2-9fbf9f90eb89,Museum,Former
2dbead29-d043-4590-b11a-df817de20fb0,Developer,Current
2e03983d-44d4-417e-b938-7ebe4457733e,Other,Current
2e16edea-e690-432d-afba-d85d143675e6,Other,Current
2e2326a7-e71e-4682-9f04-f169489703fc,Developer,Current
2e2791a2-1062-4cf7-8c28-256eabea8db4,Contractor,Current
2e368bc1-a8ca-481b-83d2-907e9454a42a,Architects,Former
2e389132-f182-4395-b206-f33a52b90e90,Developer,Current
2e7800cc-b7d7-4437-96f3-5d597c2b035d,Solicitors,Current
2e9104c8-83e6-485a-a630-c35fb5a3d2e4,Developer,Current
2eb63847-9871-4267-9cd5-032b490d3fad,Consultant,Current
2ed43dc4-c46f-4773-a7fc-051438fbc98b,Historic,Current
2f039465-353c-4c1c-8f63-3eb4c280dde3,Contractor,Current
2f0695d4-0f6c-4f39-b086-e85068b5a5e6,Energy Provider,Current
2f3980fe-0990-4d49-99e3-736b348bc8ae,University,Current
2f616a8e-4ae0-4cf5-b168-bd1c68e620b8,Contractor,Current
2f6d96ee-7f0a-4a58-bb2d-7dac0d7f6222,Architects,Current
2f77473d-88d6-4842-9bb1-1a0b44b3cad4,Architects,Current
2f851ab4-9478-49e3-9df4-13de71a47399,Developer,Current
2f8f2a13-cdea-483c-be51-4a7546532a52,Developer,Current
2fca130e-dbdc-4808-8639-e594353b19d2,Contractor,Current
2fca1e8e-b0ae-42a0-82ea-287882faeca9,Architects,Current
3012e340-1f92-43b7-8258-9223c4af52ee,Contractor,Current
302c84d5-ce42-449f-bcea-554cf4708057,Consultant,Current
3051ccc4-d0c1-4f25-86cc-af63e903e110,Consultant,Current
3058cb59-1718-4f7d-8842-1ef98d9b82ec,Developer,Current
305d4558-5d6a-4c90-aca9-00cf85b1f3bc,Architects,Current
3075b13f-c26d-4698-9b96-f83ee893526b,Museum,Current
307d63b1-133e-4a8e-af96-7ce2993c1282,Contractor,Current
3091cc9c-9a81-471f-8c31-3439753008da,Developer,Current
309b95c1-dc9a-4c6d-8bd2-865ae301b80f,Architects,Current
30fbc3ce-a2f2-433d-a77e-3fd4950d5d8d,Local amateur group,Former
31293105-5b58-4670-9687-a4a9961f69d4,Consultant,Current
31559309-0f33-41ad-b774-c31022c8c218,Consultant,Current
315632be-19b8-4e4a-9c5c-c15aca4e968e,Developer,Current
315c0f69-ad2c-4bd5-80ae-b625836e494e,Consultant,Current
31cc804d-7ff7-4fdd-8fda-b1be6f72754d,Developer,Current
31db7bb6-f750-4eba-b864-ed3922997fb8,Consultant,Current
31fb39e0-3c76-4d67-86e6-0a6341597911,Architects,Current
321e22c7-a623-4a2d-9f9d-bb0570bf7e83,Developer,Current
32208508-0710-47c9-80c3-3b886049d088,Developer,Current
327b3ca8-3b9e-4bda-a906-a17222cf7caf,Consultant,Current
32c4151a-d205-4de3-915e-c5165d11f1a1,Developer,Former
32ebe67b-323f-4e00-90f6-a8eb21ef7fd7,Other,Current
32ef9cbd-04d4-4685-af18-4e2c076ab1b0,Consultant,Current
331adf94-1319-43f8-b7b5-f07effb0c4d0,Architects,Current
331e3a7f-bd78-4465-b78a-cc0a8ce09bb9,Consultant,Current
335d99a9-d69a-44d8-8efc-95060914bc41,Developer,Current
33a8a138-ad51-4e8d-89a5-cedd1c8d4055,Historic,Current
33af38e6-c23d-4d40-a544-2984208a7fb6,Architects,Current
33b7a714-8299-4a75-b13f-57bd80bddea8,Architects,Current
33be431f-d63b-4b3a-89a3-b8705d87f8dc,Contractor,Current
33cd901a-1305-4ebe-a45d-10ea23e10598,Consultant,Current
34113f47-b898-4b7f-90eb-6912ea4ef4de,Consultant,Current
3412520d-2e2f-4922-8853-e9d2b3eea0c4,Developer,Current
34135b44-9e44-4112-a830-6501d1db4e91,Architects,Current
341f0b98-73a9-4e9c-8017-8c0410ae3b5a,Local amateur group,Current
345692f6-6240-4644-be94-0afd18b97077,Other,Current
34bb0821-4a25-4857-8374-95012fac4c1b,Architects,Current
34d432ea-844e-4551-82cf-de68f29d6c7a,Developer,Current
35132758-9efd-46b8-a890-4eabe918b75a,Other,Current
35220231-534f-422a-a7a4-e5f9e196cf66,Architects,Current
356fb751-a2b2-4250-b72a-47b8efb637be,Architects,Current
357f1afb-020f-45b0-aeb6-05b79eb399ce,Consultant,Current
35c6e4ed-329f-4b05-9311-7b867fc72530,Architects,Current
35d0a33d-b394-4c83-bcd4-4c4d9d8f1050,Other,Current
35d2daf3-2836-48a8-a9b3-db0ec064d3d8,Architects,Current
35e0fb08-291d-444f-a1e2-d94775bf1b83,Developer,Current
35fc4676-0853-49f3-b8b8-9f97fbfa93a4,Consultant,Current
36281213-5d8e-4aa1-8efe-98269ce1e56a,Developer,Current
365ae828-1eef-40f3-8b2e-02efe51d0e98,Architects,Former
3668bc6b-2a26-4835-881d-f29c53ab29fe,Contractor,Current
36a78110-0e26-415e-9153-e677a45e10bd,Consultant,Current
36cbd8d1-41a0-46c2-872e-74123127bfe9,Architects,Current
3726a865-da88-490c-95b8-41952adf7c32,Architects,Former
37999344-5a43-4af4-8646-605285184df5,Contractor,Current
37b44207-a5e6-4ac1-98bd-b9da2c91fa28,Contractor,Current
37e55b6e-1157-4956-8c45-2ed89d280410,Other,Current
37f5091f-9051-4c32-b216-7c5f1ac8dc8f,Architects,Current
37fd0d0e-9929-43f9-bb90-9d3e7703b6a5,Local Government,Current
38047b8a-408f-4450-bff8-f807bb35726e,Developer,Current
38110a6a-2f1e-4a73-92e0-252d7e3c9f88,Developer,Current
383c4d9c-abc4-4054-87eb-a56a2757ea5a,Builder,Current
38ad1a4e-84e1-48a1-bc09-6154326996ce,Developer,Current
38c31abe-320b-47b8-9aa9-7f9e1b710c5a,Architects,Current
38d79cfe-64dd-4974-8f62-b4241b6f5401,Consultant,Current
3908bef5-5b90-4d74-9ae9-f4d6b8207c96,Consultant,Current
390bf5eb-0288-4460-b289-1bd57f919e71,Consultant,Current
39264c8c-cdc2-4120-a881-f3fa5e87916c,Energy Provider,Current
3941ffaf-133d-466d-9922-a105fae1a0bc,Consultant,Current
39655c6b-d2d4-4282-9b35-01edcfa7424d,Contractor,Current
3995687c-dff7-4a18-b2e9-a88621e96c75,Architects,Current
39b366c0-cc8f-4ae3-9d20-40c1318d3722,Developer,Current
3a325b25-7c52-4f07-a3eb-e7bc9197be88,Local Government,Current
3a47903d-2e00-4ebd-ada7-8a398cb50355,Contractor,Current
3a5fccf8-fadd-4e44-8501-d74b8d0a77f5,Archive,Current
3a723416-e719-445b-a1aa-d366698f7006,Local amateur group,Current
3a74ff2d-23d9-4d1a-b2f1-d2e8139493bf,Architects,Current
3a9a7b4f-b42f-4f55-a3d4-0e3052b25f50,Developer,Current
3ab33ae9-af84-4745-8487-9413880115ca,Developer,Current
3b31f3d2-ce68-41d1-ad4c-e2edd6ade06c,Developer,Current
3b35145a-06df-4ad1-8b8d-083933eb6c66,Contractor,Former
3ba1152e-6933-44e7-bef8-7669c8a12632,Consultant,Current
3bbeed63-2944-4c61-871f-3d0c8801192a,Architects,Current
3be58c31-0c3b-430d-828d-80363a0303c1,Local amateur group,Current
3be62d67-6271-4898-873f-dad8283a11cd,Other,Current
3bec19fb-9dba-4de3-afaa-f67fb329aec3,Consultant,Current
3c0a1a40-6d56-42a7-8a95-96a5395d428f,Consultant,Current
3c3643b0-d3ff-4a0a-b542-aa3f18712345,Crown,Current
3c6bf1f6-47cd-4229-9f53-b11cd4f8a51d,Developer,Current
3ca2a260-6274-48bd-84d2-d1c9a8d4118a,Developer,Current
3cc571b8-3235-4030-a646-45eedad9be0c,Museum,Current
3ce99e19-b4ff-43c0-bb51-c7fd496daf4d,Developer,Current
3cf3eb04-2676-4bb8-8d3e-48e18d6e7eb1,Architects,Current
3d26c72c-4e3f-42af-8c8d-ac5a268d7d0b,Statutory Organisation,Current
3d3d9b2d-4903-44bb-afea-ba39a83635d4,Contractor,Current
3d4ef5a5-7881-49cc-a9c3-eb66d3d20d17,Developer,Current
3d8dd255-88fb-47a0-9b76-45b17f943527,University,Current
3dc06bf1-6ff0-4dc5-a0ad-493d60aba830,Other,Current
3dfd3a6e-9699-4f43-9a0e-1b47773d819a,Consultant,Current
3e07b15d-5f5e-4fc5-8f8e-841b8f4e990b,Architects,Current
3e32b8a3-9455-4af4-9050-edc8217ee9df,Other,Former
