ResourceID,Monument Type,Evidence,MainBuildingMaterial,CoveringMaterial,Component,Parent_UID,YearFrom,YearTo,DispDate,Period,Note
0bfa05d1-5d7b-4284-9178-1577d8eb361e,Findspot,,,,,0,-1000,-701,,,
0bfb50d7-6505-4bd1-b676-294099613c6f,Subway,Extant Building,Brick,,,0,1885,2050,,,
0bfb50d7-6505-4bd1-b676-294099613c6f,,Extant Building,Wrought Iron,,,,,,,,
0bfc3168-c08e-49c3-bbb0-19cbb47e831c,Forest,,,,,0,-500000,42,,,
0bfd20e2-9201-4107-b877-2314208fb32c,Workhouse,,,,,0,1720,1870,,,
0bfd20e2-9201-4107-b877-2314208fb32c,Railway Station,,,,,0,1870,2050,,,London Liverpool Street Station
0bfd20e2-9201-4107-b877-2314208fb32c,Microbrewery,,,,,501716,1730,1829,,,
0bfd20e2-9201-4107-b877-2314208fb32c,Malt House,,,,,501716,1730,1829,,,
0bfd20e2-9201-4107-b877-2314208fb32c,Abattoir,,,,,501716,1730,1829,,,
0bfd20e2-9201-4107-b877-2314208fb32c,Infirmary,,,,,501716,1730,1829,,,
0bfdba67-ffea-49c5-9f7a-73f4b5c26fb9,Goods Station,Documentary Evidence,,,,0,1862,1951,Demolished,,
0bfdba67-ffea-49c5-9f7a-73f4b5c26fb9,Railway Siding,Documentary Evidence,,,,473431,1862,1951,Demolished,,
0bfdba67-ffea-49c5-9f7a-73f4b5c26fb9,Hydraulic Pumping Station,Documentary Evidence,,,,473431,1894,1951,Demolished,,
0bfdba67-ffea-49c5-9f7a-73f4b5c26fb9,Railway Turntable,Documentary Evidence,,,,473431,1862,1951,Demolished,,
0bfdba67-ffea-49c5-9f7a-73f4b5c26fb9,Railway Lift,Documentary Evidence,,,,473431,1862,1951,Demolished,,
0bfdba67-ffea-49c5-9f7a-73f4b5c26fb9,Railway Siding,Documentary Evidence,,,,473431,1862,1951,Demolished,,
0bfdf38a-2939-4e87-831b-9b6bc5aaef64,Terraced House,,,,,0,1819,1823,,,
0bfdf38a-2939-4e87-831b-9b6bc5aaef64,Railings,,,,,0,1819,1823,,,
0bfdf38a-2939-4e87-831b-9b6bc5aaef64,House,,,,,0,1824,,,,
0bfdf38a-2939-4e87-831b-9b6bc5aaef64,Terrace,,,,,0,1819,1823,,,
0c002883-daa5-4031-991d-f2d8caddf258,Findspot,,,,,0,-500000,-10001,,,
0c018efa-05e9-4b24-83fe-d941b4db15f0,Drain,,,,,0,43,409,Roman,Roman,
0c01a6b5-1107-430a-bde2-a3e4c516913c,Terraced House,,,,,0,1540,1900,Post Medieval,Post Medieval,
0c03a1d8-3c90-46fd-9ce7-132b183c0b8f,Shipyard,,,,,0,1540,1900,Post Medieval,Post Medieval,
0c04ed5a-05ef-415e-936a-9bcdcf50f526,General Hospital,Extant Building,,,,0,1883,1977,,,
0c04ed5a-05ef-415e-936a-9bcdcf50f526,Public Building,Extant Building,,,,0,1993,1998,,,
0c04ed5a-05ef-415e-936a-9bcdcf50f526,Apartment,Extant Building,,,,0,1998,2050,,,
0c0546a9-1d04-48ad-9548-10c2a8e6c397,Soup Kitchen,,,,,0,1902,1902,,,
0c0546a9-1d04-48ad-9548-10c2a8e6c397,Shop,,,,,0,1902,1902,,,
0c057d7f-fbac-4cc9-ac6e-e7251b7f88e5,Terrace,,,,,0,1800,1832,,,
0c057d7f-fbac-4cc9-ac6e-e7251b7f88e5,Terraced House,,,,,0,1833,,,,
0c057d7f-fbac-4cc9-ac6e-e7251b7f88e5,Railings,,,,,0,1800,,,,
0c057d7f-fbac-4cc9-ac6e-e7251b7f88e5,Terraced House,,,,,0,1800,1832,,,
0c08a60f-4f6e-4d7d-99ac-9717b5f5a2bf,,,,,Nave,70367,1899,2050,,,
0c08a60f-4f6e-4d7d-99ac-9717b5f5a2bf,,,,,Chancel,70367,1900,2050,,,
0c08a60f-4f6e-4d7d-99ac-9717b5f5a2bf,,,,,Aisle,70367,1899,2050,,,
0c08a60f-4f6e-4d7d-99ac-9717b5f5a2bf,,,,,Porch,70367,1899,2050,,,
0c08a60f-4f6e-4d7d-99ac-9717b5f5a2bf,,,,,Vestry,70367,1900,2050,,,
0c08a60f-4f6e-4d7d-99ac-9717b5f5a2bf,,,,,Lancet Window,70367,1899,2050,,,
0c08a60f-4f6e-4d7d-99ac-9717b5f5a2bf,Church,Extant Building,,,,0,1899,2050,,,
0c08cca7-49ff-497b-9d75-69465f065e48,Terrace,,,,,0,1833,1866,,,
0c08cca7-49ff-497b-9d75-69465f065e48,Square,,,,,0,1843,1843,,,
0c098c5a-dc14-4082-8a9a-ba831420af1f,Findspot,,,,,0,-4000,-2201,,,
0c0ade00-48e6-4713-8e17-d4a44665a382,Stained Glass Workshop,,,,,0,1906,1906,,,
0c0bac68-3dac-44d3-857a-afce75012289,Friends Burial Ground,Burial,,,,0,1785,2050,,,
