ResourceID,Event Type
1fe6d3c5-7a2d-4755-96f4-93cd63c8bb9b,Trial Trench
1fef8d23-ac3d-4697-b4be-cf7fc7050357,Evaluation
1ff37482-5ee9-4d5c-a76f-83d6f0a342d5,Trial Trench
1ff55e9b-083c-43ed-b87a-865dbf7d9539,Desk Based Assessment
20054c2f-1e20-4e6d-9bb1-3e16fb7870b6,Excavation
200ea222-ed97-4c31-95a3-0d3865789db2,Desk Based Assessment
201816da-789c-4f2b-9261-5c79930c068e,Trial Trench
2049002a-9beb-4f42-89b5-56f994416294,Metal Detecting Use
2061953b-cdbf-4bee-b1bb-c58b3e213b35,Trial Trench
2084c490-b627-4a29-a6d8-c55b856502aa,Auger Survey
2084c490-b627-4a29-a6d8-c55b856502aa,Open Area Excavation
20880cf5-fed9-4b06-bafd-edbb84c4b54e,Watching Brief
20952cba-5640-48cf-820f-adec459e1d2b,Trial Trench
20b8f22c-3ad6-4a9f-806d-14e3d7c4979e,Test Pit
20c4fc13-fca4-4022-9195-3e41fc4c42dc,Trial Trench
212cd139-0599-478b-936b-6568ae6e8391,Trial Trench
21830d7c-6846-4117-92ff-e769476406d5,Desk Based Assessment
22448d25-8633-4884-ba12-528a7b1ea291,Desk Based Assessment
228788e9-aa75-4350-b281-52d080497145,Trial Trench
22c2be20-05b4-40b1-a541-186fcb1abb3f,Desk Based Assessment
2327aa44-1053-4988-962c-59b410fe2763,Desk Based Assessment
2351206c-0bb1-486f-98e1-459dfa6c86c9,Trial Trench
23a5d8c9-be3c-479f-923a-61608f9ce677,Open Area Excavation
23ad0cd5-be7d-419d-8008-4b2f16cc5d5a,Trial Trench
23c5bba9-b333-43b6-b2d0-3e24745f6cd8,Open Area Excavation
23e262cc-be51-4258-a2e3-e64875442a31,Borehole Survey
23e71088-2a70-4441-a90b-0315a1d83941,Field Survey
23e71088-2a70-4441-a90b-0315a1d83941,Lidar Survey
23e71088-2a70-4441-a90b-0315a1d83941,Aerial Photograph Interpretation
23e71088-2a70-4441-a90b-0315a1d83941,Historic Area Assessment
23efa106-593c-453a-bae2-0f50cf77b6f3,Evaluation
240a701e-919e-4655-8874-7f8681df3030,Geotechnical Survey
241448e3-8475-4915-bfbd-5de381460290,Excavation
243a50c4-73ff-4161-ab2d-c576864c7509,Trial Trench
248c946b-1e04-47aa-af24-ed9aa813b86b,Excavation
2506ef5a-54cb-4532-b1c4-1d8b6ec90f61,Trial Trench
251ecb46-ab0c-43a8-94bc-157c112f5ab3,Trial Trench
26216f60-8cd3-4c26-b1e1-f4ec317e9839,Desk Based Assessment
26216f60-8cd3-4c26-b1e1-f4ec317e9839,Building Survey
262c82a1-3ca6-4fca-8e1d-94a97891e21d,Trial Trench
2650ae5e-8182-457d-98be-bf9443a9557c,Desk Based Assessment
2670a1fb-5146-4b7e-962b-4fac8e677f53,Evaluation
2692d9b9-64b3-4cfb-bd64-e6a6ceaf72d1,Desk Based Assessment
269c3e2e-cdd2-47d5-afa8-6ea52f3d6e71,Desk Based Assessment
26b429d8-8f11-4245-94f9-ea3594e8bd07,Excavation
