ResourceID,SourceUID,SourceType,Title Type,Title,Page Numbers,Volume/Number,Journal/Series,Originator,OrigDate,Description Type,Description,Location,PublicationLocation,Publisher
4d143423-e468-4351-95db-8db03d96fc51,,Serial,Title,Surrey Archaeological Society Bulletin,,No 1,,,1965,,,,Guildford,Surrey Archaeological Society
4d1ccf18-aa5b-4aa3-ad66-a318c8dc45be,,Serial,Title,Kent Archaeological Review,,No 82,,,1985,,,,Dover,Council for Kentish Archaeology
4d2f9b94-1f19-4826-a43b-ffc9fc629110,,Serial,Title,Essex Review,,Vol 28,,,1919,,,,Chelmsford,E. Durant & Co.
4d488a72-2c90-4180-ac0b-c500d294ae37,,Serial,Title,Surrey Archaeological Society Research Volumes,,Vol 7,,,1979,,,,,
4d5bdfba-3b8b-49f6-882c-f4f68f32ac3b,,Serial,Title,Current Archaeology,,No 8,,,,,,,,
4da20eff-184a-4e6d-b803-033f47a08437,,Serial,Title,Home Counties Magazine,,Vol 10,,,1908,,,,,
4dc4ae70-4556-4598-b574-1fd430a0bbc2,,Serial,Title,Havering History Review,,Vol 7,,,,,,,,
4dd3b929-3341-47bb-9a27-d7ec77be49da,,Serial,Title,Journal of the British Archaeological Association,,Vol 27 Pt 4,,,1871,,,,London,British Archaeological Association
4df4ca7b-c292-42c1-992c-fb03faa7a306,,Serial,Title,Surrey Archaeological Society Bulletin,,No 82,,,1971,,,,Guildford,Surrey Archaeological Society
4e54e9fd-8ea5-4bdc-bf3b-1b554a4a1b2f,,Serial,Title,The Archaeological Journal,,Vol 42,,,1885,,,,London,Council of the Royal Archaeological Institute of Great Britain and Ireland
4ec2083b-1796-4cdb-b0de-ba9f1caf17af,,Serial,Title,British Numismatic Journal,,Vol 10,,,,,,,,
4ec8c396-0534-4009-88ea-596ff057e38e,,Serial,Title,Enfield Archaeological Society Bulletin,,No 139,,,,,,,,
4ec9d6c7-df2d-4718-9cca-5667ed6162e8,,Serial,Title,The Antiquaries Journal,,Vol 52,,,1972,,,,London,Oxford University Press
4ecae1a0-9bc2-4263-ab18-e7ac80ef18a0,,Serial,Title,International Journal of Nautical Archaeology and Underwater Exploration,,Vol 2 Pt 1,,,,,,,,
4ee46f35-7f8d-48d9-9a40-a6affaf4ba1f,,Serial,Title,Minerva,,Vol 1 No 2,,,,,,,,
4ef98160-66f4-42d8-a5be-e419bec6ec1f,,Serial,Title,Archaeologia Cantiana,,Vol 119,,,1999,,,,Maidstone,Kent Archaeological Society
4f1c43c3-6d6a-48e9-83d9-f3e72f1daae5,,Serial,Title,Proceedings of the Prehistoric Society,,Vol 33,,,1968,,,,Cambridge,The Prehistoric Society
4f3f4479-1241-4667-95c9-4f92b29e7285,,Serial,Title,Archaeologia,,Vol 69,,,1920,,,,London,The Society of Antiquaries of London
4fee72cf-2858-4383-b4c2-4a276ac2bf2e,,Serial,Title,The Antiquary,,Vol 6,,,1882,,,,London,Elliot Stock
4ff94b09-976d-4924-92d3-ff2bacc1c0c4,,Serial,Title,Essex Archaeology and History,,Ser 3 Vol 33,,,2002,,,,Colchester,The Essex Society for Archaeology and History
500b9e2d-81f2-4e42-9bda-d0f33322ad4a,,Serial,Title,Hornsey Historical Society Bulletin,,No 2C,,,,,,,,
501a62e3-136b-4a06-9f70-34a5274fb4c7,,Serial,Title,British Museum Quarterly,,Vol 2 No 4,,,,,,,,
503e0919-bc9c-42d3-b0d8-5fc5cf5c16cb,,Serial,Title,Essex Archaeology and History,,Ser 4 Vol 2,,,2011,,,,Colchester,The Essex Society for Archaeology and History
5047b594-c98a-422e-bc05-377ce2ed6d39,,Serial,Title,Journal of Roman Studies,,Vol 48,,,1958,,,,London,The Society for the Promotion of Roman Studies
508de647-cdfc-4c70-8291-0825db16cb00,,Serial,Title,Essex Naturalist,,Vol 18,,,1918,,,,,
50987f9d-a97f-4ebc-8e75-eb9a2698bbb2,,Serial,Title,Surrey Archaeological Collections,,Vol 7,,,,,,,Guildford,Surrey Archaeological Society
50a3d2eb-52d3-47c9-8ad8-86430a6af23c,,Serial,Title,Numismatic Chronicle,,Ser 4 Vol 12,,,,,,,,
50a55fde-3d24-4d7d-91a7-492cc3cd2b43,,Serial,Title,The Archaeological Journal,,Vol 102,,,1945,,,,London,Royal Archaeological Institute of Great Britain and Ireland
50ae8867-8b9a-4979-8e4b-2edcbb55a868,,Serial,Title,Archaeologia,,Vol 55,,,1897,,,,London,The Society of Antiquaries of London
5113fe31-b597-4f7b-a628-8276ef2dc876,,Serial,Title,Architectural History,,Vol 24,,,,,,,,
5117aba9-ed19-4ded-a00c-c6c1c8714d66,,Serial,Title,Archaeologia,,Vol 22,,,1829,,,,London,The Society of Antiquaries of London
511ba20a-163b-4b0b-9813-6a90283cf263,,Serial,Title,Antiquity,,Vol 10,,,,,,,,
511c7e3b-32e2-4fec-89f9-0b6f1cc8af93,,Serial,Title,Journal of the British Archaeological Association,,Vol 2 Pt 1,,,1846,,,,London,British Archaeological Association
5145d6f7-d8f3-4bca-b380-f4ee4df0b6db,,Serial,Title,Journal of the Anthropological Society of London,,Vol 5,,,,,,,,
51860c8a-4cc5-4086-9c42-f3736fc2bcd9,,Serial,Title,Anglo-Saxon England,,Vol 1,,,1972,,,,,
51af04d3-de9f-417c-af7e-c961a1d204c0,,Serial,Title,Walthamstow Antiquarian Society,,No 29,,,,,,,,
51b4debf-4f26-4bd2-8e81-c73ac5761649,,Serial,Title,Croydon Natural History & Scientific Society Proceedings,,Vol 16 Pt 6,,,,,,,,
520e0ae1-079a-451e-9b13-fef8d02ffe7c,,Serial,Title,Greenwich and Lewisham Antiquarian Society Transactions,,Vol 8 No 2,,,1974,,,,London,Greenwich and Lewisham Antiquarian Society
521d417d-bec6-412d-9163-d1b09a64f79b,,Serial,Title,Greenwich and Lewisham Antiquarian Society Transactions,,Vol 3 No 4,,,1929,,,,London,Greenwich and Lewisham Antiquarian Society
527a52fb-45f4-42fd-b0c7-a6a27c6a7225,,Serial,Title,Journal of the British Archaeological Association,,Vol 48 Pt 4,,,1892,,,,London,British Archaeological Association
528722a9-1ab5-47b0-9663-2ac7abdd8dd9,,Serial,Title,London Archaeologist,,Vol 5 No 13,,,1987,,,,London,London Archaeologist Association
529e09f4-8088-419b-8868-07f2941603c7,,Serial,Title,Woolwich and District Antiquarian Society Transactions,,Vol 24,,,,,,,,
529ebfb3-b8c3-4e62-9162-32062fbae661,,Serial,Title,"Beddington, Carshalton & Wallington Archaeological Society Occasional Papers",,No 4,,,,,,,,
52b32eb6-d0cd-4bb6-9723-7b78caf62b3c,,Serial,Title,Proceedings of the Society of Antiquaries of London,,Ser 1 Vol 4 No 49,,,1858,,,,London,The Society of Antiquaries
52b5ff40-76f4-4cd9-b489-742aa1a3efca,,Serial,Title,Architectural Design,,Vol 58 Nos 5-6,,,,,,,,
52dd83a3-a9a3-4582-a882-cdcc53018ca8,,Serial,Title,Essex Review,,Vol 59,,,1950,,,,Chelmsford,E. Durant & Co.
52e4a205-faf8-4548-ab68-79c0a82fd9f8,,Serial,Title,Thames Basin Archaeological Observers' Group Newsletter,,No 11,,,,,,,,
52e74eff-5e91-4102-bfc8-07c5e36d0a41,,Serial,Title,The Archaeological Journal,,Vol 23,,,1866,,,,London,Central Committee of the Archaeological Institute of Great Britain and Ireland
52eb0ca8-a46b-496f-8bd8-f9e9a0418a51,,Serial,Title,Orpington and District Archaeological Society Archives,,Vol 11 No 3,,,,,,,,
53116293-5f07-4a6c-8676-74019e10fce2,,Serial,Title,Proceedings of the Society of Antiquaries of London,,Ser 2 Vol 29,,,1917,,,,London,The Society of Antiquaries
5316026f-90a8-4e31-a278-ae1dd7a03c21,,Serial,Title,Orpington and District Archaeological Society Archives,,Vol 7 No 1,,,,,,,,
53177a12-342f-420a-af1f-83993a69431b,,Serial,Title,Post-Medieval Archaeology,,Vol 16,,,1982,,,,Sheffield,The Society for Post-Medieval Archaeology
534c14ee-6ff9-489f-810b-9a71783ce8ee,,Serial,Title,Wandsworth Historical Society Wandsworth Papers,,No 16,,,2007,,,,,
53541d52-83fb-4d46-ba36-615241c13100,,Serial,Title,Archaeologia Cantiana,,Vol 102,,,1985,,,,Maidstone,Kent Archaeological Society
53628b57-65a4-4f5e-a4d9-e562951406c6,,Serial,Title,London Archaeologist,,Vol 6 No 4,,,1989,,,,London,London Archaeologist Association
539b1e9b-61c4-481c-a52f-54e33e180e02,,Serial,Title,Journal of Roman Studies,,Vol 23,,,1933,,,,London,The Society for the Promotion of Roman Studies
53c7ac4e-ce39-46b5-a537-c716056b7e39,,Serial,Title,Architectural Review,,Vol 37,,,,,,,,
543dcc93-6b6f-4dcf-8f4d-c343ee1cae55,,Serial,Title,The Numismatic Chronicle,,Vol 5 No 13,,,,,,,,
5447d36a-1920-40d6-a429-9bf4edb8e4d7,,Serial,Title,Archaeologia,,Vol 24,,,1832,,,,London,The Society of Antiquaries of London
54bc005b-56df-40f5-b788-32c821bb5ae5,,Serial,Title,Croydon Natural History & Scientific Society Proceedings,,Vol 14 Pt 5,,,,,,,,
54c737eb-30b6-4f6b-a094-d8824aab93a6,,Serial,Title,The Antiquary,,Vol 51,,,1915,,,,London,Elliot Stock
54d1e326-ca7d-497e-8b43-e1d44a7a30d5,,Serial,Title,London Archaeologist,,Vol 2 No 8,,,1974,,,,London,London Archaeologist Association
54d38f8f-4e01-4747-bb26-3b5765b00953,,Serial,Title,Journal of Roman Studies,,Vol 30,,,1940,,,,London,The Society for the Promotion of Roman Studies
54e7a9db-785c-442c-9c59-38e628174d54,,Serial,Title,London Archaeologist,,Vol 9 No 1,,,1999,,,,London,London Archaeologist Association
54ede0d4-267a-46d8-98b3-311d11cd4a97,,Serial,Title,Bourne Society Local History Records,,Vol 11,,,,,,,,
550c2cb5-058a-4b1b-9ca1-f872b48ffd2f,,Serial,Title,The Antiquary,,Vol 47,,,1911,,,,London,Elliot Stock
552f2442-47ad-4d7f-bde9-cd1f874725a9,,Serial,Title,London and Middlesex Archaeological Society Transactions,,Ser 1 Vol 5,,,1881,,,,London,J.H. & J. Parker
55726466-3e5e-4269-808e-1dbcb000785f,,Serial,Title,Surrey Archaeological Society Bulletin,,No 28,,,1967,,,,Guildford,Surrey Archaeological Society
5573a82e-df1c-43f6-98c4-49a1446b7371,,Serial,Title,Landscape Design,,Vol 159,,,1986,,,,,
559037c9-2a89-4c50-b96f-8f0d1bc0aa3b,,Serial,Title,The Thirties Society Journal,,No 7,,,,,,,,
55d6b48d-ed8c-4979-a57b-d6f951c87d3e,,Serial,Title,Wandsworth Historical Society Newsletter,,No 93,,,,,,,,
55e1805b-ef87-435a-88bc-8fe0557ad008,,Serial,Title,Quarterly Journal of the Geological Society,,Vol 25,,,,,,,,
562c1f2b-6b89-4a05-b8d8-728ec363e6a4,,Serial,Title,British Museum Research Publications,,No 70,,,1990,,,,,
5648f712-a936-424d-a7bb-e46e7bf93377,,Serial,Title,Journal of the British Archaeological Association,,Vol 31 Pt 4,,,1875,,,,London,British Archaeological Association
56567d0b-2eb0-44d7-aa89-db9dbd92a346,,Serial,Title,The Archaeological Journal,,Vol 22,,,1865,,,,London,Central Committee of the Archaeological Institute of Great Britain and Ireland
567ed897-f48c-412b-aa80-50ac6f0605d1,,Serial,Title,Archaeologia,,Vol 78,,,1928,,,,London,The Society of Antiquaries of London
56dd1f88-2cea-4cfe-8fdb-5528f97c2aab,,Serial,Title,Orpington and District Archaeological Society Archives,,Vol 13 No 3,,,,,,,,
56ddd45b-1db3-4fc4-8dc5-f7773753baab,,Serial,Title,Athene,,Vol 22,,,,,,,,
