ResourceID,External Cross Reference Source,External Cross Reference Number
0e084018-3973-46fe-ab79-f25992106c3d,OASIS,thamesva1-79291
0e084018-3973-46fe-ab79-f25992106c3d,Site Code,SUV10
0e4af6f3-aa13-4887-9bac-700c5b3a0e12,Site Code,BEO99
0e5748b4-79ee-4d99-b0ce-a634ea453cb0,Site Code,WRK94
0e61b0f7-00f3-4352-b9aa-41e199d6571f,OASIS,compassa1-227563
0e61b0f7-00f3-4352-b9aa-41e199d6571f,Site Code,ICE15
0e7152ef-aa41-440e-8c55-396eb3067f1e,OASIS,molas1-218616
0e7152ef-aa41-440e-8c55-396eb3067f1e,Site Code,JWB15
0e9a088e-59af-4421-9e12-9c3be0c3cf3d,Site Code,BSW99/25
0e9da961-e5d8-4991-a6fe-b96f45b9c55e,Site Code,RNC93
0e9f654c-2a1b-4b33-9f33-6e53263e1b99,Site Code,HCP62
0ea43b08-8d2e-49aa-9f71-efd28ea08e29,OASIS,aocarcha1-64189
0ea43b08-8d2e-49aa-9f71-efd28ea08e29,Site Code,OGC09
0ea9573a-298e-462c-8397-fd626dafe462,Site Code,OGP10
0ebd4722-e01e-423f-bbe2-c0bbb417668d,Site Code,RYA99
0ec4ae5a-d112-45d4-afe9-55f228f82832,Site Code,HBS99
0ee43073-694e-4f5a-931d-31145a4b3a3c,OASIS,aocarcha1-258994
0ee43073-694e-4f5a-931d-31145a4b3a3c,Site Code,PHW16
0ee43073-694e-4f5a-931d-31145a4b3a3c, LPA Planning Reference, 14/10440/FULL
0ee43073-694e-4f5a-931d-31145a4b3a3c, LPA Planning Reference, 14/10440/LBC
0ee994fc-fdf1-4db6-ad89-6084b4bf92f2,Site Code,BDW14
0f06ed1b-63ea-4e9b-bdc8-01605a0f868d,Site Code,HFP94
0f1bc90a-2851-4ff4-9edb-cb2d0ec03644,OASIS,preconst1-190550
0f1bc90a-2851-4ff4-9edb-cb2d0ec03644,Site Code,MPB09
0f256fee-49f1-4ccc-879e-5a3f43c25994,Site Code,BNW95
0f351183-021f-49d8-94f9-289464280018,Site Code,BCD96
0f5bf344-95c4-44b0-bf8f-3b41a74c9e06,Site Code,GOF91
0f76f3d3-5b23-440b-8bd2-e65c6dd9c99d,Site Code,SGR13
0f7bc817-893d-4d0b-960c-0d5f90cfac35,Site Code,WVC99
0f84de31-269e-40bf-85be-db5389d0905d,Site Code,K3695
1013168b-596d-4028-b5ec-c1dfa2363940,OASIS,preconst1-217434
1013168b-596d-4028-b5ec-c1dfa2363940,Site Code,AGD15
102ef25e-19e7-49d4-8284-5905728fc1b2,OASIS,preconst1-133739
102ef25e-19e7-49d4-8284-5905728fc1b2,Site Code,ASW08
107be8b3-df66-46f3-9699-06709b63c66a,Site Code,KYD99
10a0bf5d-a26a-4f00-91b7-071e3053378b,LPA Planning Reference,HGY/2018/0187
10a287ca-1f27-4d8f-b051-5e9084fb3275,Site Code,HIR97
10b865c8-23c2-43d4-8b1f-35102608dd87,Site Code,GTT95
10c5e891-1377-4056-9b92-abfc46925134,Site Code,WRR94
10e51e4f-c5d0-4d58-a108-a13b80d4d181,Site Code,FOR92
10f6cb8e-0ae7-4a2e-82a0-c95ae691edba,LPA Planning Reference,D2015/71751/FUL
10f6cb8e-0ae7-4a2e-82a0-c95ae691edba,Site Code,SFF16
10f6cb8e-0ae7-4a2e-82a0-c95ae691edba, OASIS, compassa1-261202
111427b7-c3f2-4c23-b098-186117260468,OASIS,headland4-139542
11641bf2-131d-4fd9-8da4-61b83e8fd8d7,LPA Planning Reference,PA/15/01789
11641bf2-131d-4fd9-8da4-61b83e8fd8d7,Site Code,STY15
116796fb-b8ea-4df9-a83b-e2727a2a6645,Site Code,WSW76
11adaad6-886b-43e7-80f6-3225dc5c2e42,Site Code,CHX15
11b0d308-f3ca-44b1-b23c-5c277f8097ca,Site Code,LHH93
11cbf746-f4d0-4ca8-92c4-2d374a61e595,Site Code,WGK93
11e79761-ee4e-4aae-a953-964c3583f5ab,Site Code,WER95
11fb7552-da76-4af9-95cd-7abbba8217d7,Site Code,LGR15
12082183-e15c-45ba-a050-3eebddf93f47,Site Code,ODT 05
12097623-2dcb-4e74-9b12-8e187d214d00,Site Code,NGR88
12498096-34da-492b-91f9-e81560957e78,OASIS,preconst1-54117
12498096-34da-492b-91f9-e81560957e78,Site Code,ABG07
12ad9a98-71f7-4e93-a127-ed644f250acc,OASIS,preconst1-65556
12b7ab3f-5ed2-4d48-83f3-d594312c6d48,LPA Planning Reference,2016/2749
12c935f4-7ada-4b45-80a8-24889d98f05e,Site Code,CMI00
1308d71c-d75b-4c79-b239-fbb8c40acf54,OASIS,gsbprosp1-69970
1308d71c-d75b-4c79-b239-fbb8c40acf54,Site Code,LF108
1308e19c-63db-4958-8e46-bdb40015ad30,OASIS,wessexar1-98526
1308e19c-63db-4958-8e46-bdb40015ad30,Site Code,WPY10
1308e19c-63db-4958-8e46-bdb40015ad30, LPA Planning Reference, 09/02856/P
132b7da2-1e6b-4f74-b7cd-6b5657d16545,Site Code,YKR13
135047e2-494b-45c6-a6d9-b21054ee962c,OASIS,molas1-187396
135047e2-494b-45c6-a6d9-b21054ee962c,Site Code,KGF12
137a92c9-8c71-4087-898b-c102370ecc33,OASIS,aocarcha1-68209
137a92c9-8c71-4087-898b-c102370ecc33,Site Code,OKH10
1380068e-ce47-4a3d-b7bf-f19baa55abd8,Site Code,MTV95
13907506-6271-4379-88b7-cd074ecda7ca,OASIS,preconst1-155049
13907506-6271-4379-88b7-cd074ecda7ca,Site Code,TOL135
13a39fbd-e65d-43bc-bd6a-25a483d5c6c5,Site Code,MNT95
13bb5d67-e2b1-472a-927e-d6d3ebdf4420,OASIS,preconst1-105382
13cb9839-1209-42f0-819d-b4fd8fe41b02,Site Code,LIO00
13d3e4e3-c3fd-48c8-a2db-f9cb6ac6ff10,OASIS,molas1-199234
