ResourceID,DALUID,Building Number and Street,Building Name,Locality,Town,Postcode,Address Status,Area Name,Area Type,Area Currency,Reference Number,Reference Number Type,Location Description,Name,Name_Type
41354047-3739-3688-33d8-dc9abcff005b,DALO03014,1  Pooles Lane,,Dagenham,London,RM9 6RS,Primary,Barking and Dagenham,Borough,Current,16/01475/FUL,External Organization Reference Number,"Eddie Stobart, Goresbrook Park Industrial Estate, Pooles Lane, Dagenham Essex","Eddie Stobart, Goresbrook Park Industrial Estate",Alternative
4149c449-148e-77dd-8349-f71b0e9a57c7,DALO05691,346  Queenstown Road ,Marco Polo House,,London,SW8 4NQ,Primary,Wandsworth,Borough,Current,2011/2089,External Organization Reference Number,"Marco Polo House, 346 Queenstown Road","Marco Polo House, 346 Queenstown Road",Primary
418ad5e3-597e-43d8-a169-566c819a4c7a,DALO00624,140  High Street North,,East Ham,London,E6 2HT,Primary,Newham,Borough,Current,18/01565/FUL,External Organization Reference Number,,"140 High Street North, East Ham, London, E6 2HT",Primary
419f8cc4-26b9-658d-4fb4-36f28da9a4c4,DALO00817,26  Galsworthy Road,Links Cottage,Kingston upon Thames,London,KT2 7BS,Primary,Kingston upon Thames,Borough,Current,1714568,External Organization Reference Number,,"Links Cottage , 26 Galsworthy Road, Kingston upon Thames, KT2 7BS",Primary
41a00a57-36c6-a6fd-5b17-759f30688753,DALO02060,142  Newington Butts,,,London,SE11 4RN,Primary,Lambeth,Borough,Current,14/06999/FUL,External Organization Reference Number,142 Newington Butts,142 Newington Butts London SE11 4RN,Primary
41a08461-202d-5bc5-4733-3f7e8d86a218,DALO02178,,Brompton Cemetery,,London,SW5,Primary,Kensington and Chelsea,Borough,Current,,,Brompton Cemetery,Brompton Cemetery  Conservation Area Appraisal,Primary
41a90a3f-807a-3466-319c-eae3513992cc,DALO01240,1  The Ridgeway,,Stanmore,London,HA7 4BE,Primary,Harrow,Borough,Current,P/3740/17,External Organization Reference Number,,"1A The Ridgeway, Stanmore, HA7 4BE",Primary
41b00b51-5c64-8579-0a5c-7f8713ed8bd9,DALO04877,18-24  Westbourne Grove,,,London,W2 5RH,Primary,City of Westminster,Borough,Current,16/02107/FULL,External Organization Reference Number,,18-24 Westbourne Grove London W2 5RH,Primary
41b5304c-93d7-7485-10f8-6219a9c177e0,DALO02394,176  Pampisford Road South,,South Croydon,London,CR2 6DB,Primary,Croydon,Borough,Current,17/03118/FUL,External Organization Reference Number,176 Pampisford Road,176 Pampisford Road South Croydon CR2 6DB,Primary
41c25eeb-57e7-0196-0d7b-6b7a7f9a7ddf,DALO02545,48  Russell Green Close,,Purley,London,CR8 2NR,Primary,Croydon,Borough,Current,14/02031/P,External Organization Reference Number,,Marvon Court 48 Russell Green Close Purley CR8 2NR,Primary
