ResourceID,Location Description,Location Description Type
0a188ebc-4639-4cfa-9adb-38162dcbc03e,"Victoria Way, Charlton, Greenwich, SE7",Primary
0a2b2bbd-2733-4462-b425-3b66e7a55bbb,"Croydon Advertiser Site, Brighton Road, Croydon",Primary
0a8a2ce2-c495-438f-847e-1e25599c3980,"Kenley Common, Hayes Lane, Kenley, Croydon",Primary
0a8a2ce2-c495-438f-847e-1e25599c3980,"Kenley Common, Golf Road, Kenley, Croydon",Primary
0a8a2ce2-c495-438f-847e-1e25599c3980,"Kenley Common, Kenley Lane, Kenley, Croydon",Primary
0a8a2ce2-c495-438f-847e-1e25599c3980,"Kenley Common, Hawkhirst Road, Kenley, Croydon",Primary
0a8a2ce2-c495-438f-847e-1e25599c3980,"Kenley Common, Hilltop Road, Kenley, Croydon",Primary
0a8a2ce2-c495-438f-847e-1e25599c3980,"Kenley Common, Whyteleaf Road, Kenley, Croydon",Primary
0ad42566-846c-4d35-8a56-6f3f81f22cab,"Canbury Park Road, Kingston",Primary
0b0d24dd-ce85-41ca-861d-66af5f38a3c4,"Bath Road Car Park, Bedford Park, Hounslow",Primary
0b3957c9-64b5-40ce-9749-f4a2dbaf9e01,"Beddington Sewage Farm, Sutton",Primary
0b431324-d755-4d1c-b4f4-0623cb7c283b,"Quaker Street, E14",Primary
0b431324-d755-4d1c-b4f4-0623cb7c283b,"Wheeler Street, E14",Primary
0b71ed89-415a-453b-b39b-ecb31b6f89a4,"Seagrave Road, Earls Court, Hammersmith & Fulham",Primary
0bafea81-9f45-48e0-ac7e-2cc941f2ab14,"Old School Close, Greenwich, SE10",Primary
0be38a42-f96b-46c8-914c-072dfb79f089,"Leigham Avenue, Streatham",Primary
0bee18e2-f4d5-4505-91af-032c9ea53ada,"Garratt Lane, Wandsworth, SW18",Primary
0bee18e2-f4d5-4505-91af-032c9ea53ada,"High Street, Wandsworth, SW18",Primary
0c081935-5dab-4270-9c88-d15812323c3a,"Gloucester Grove - Phase 3, St Georges Way, Peckham, Southwark, SE15",Primary
0c4a50b6-4919-4476-8ff7-547b37bb7eb3,"High Street, Benhilton, Sutton",Primary
0c4a50b6-4919-4476-8ff7-547b37bb7eb3,"Crown Road, Benhilton, Sutton",Primary
0ca90b47-a4e9-43e5-a97b-b36ea18166c4,"Raven Row, Whitechapel",Primary
0ca90b47-a4e9-43e5-a97b-b36ea18166c4,"Sidney Street, Whitechapel",Primary
0ca90b47-a4e9-43e5-a97b-b36ea18166c4,"Stepney Way, Whitechapel",Primary
0ca90b47-a4e9-43e5-a97b-b36ea18166c4,"Cavell Street, Whitechapel",Primary
0cb60f77-abef-4767-9e72-779b30c998fc,"Kings Cross Area, Camden",Primary
