ResourceID,Monument Type,Evidence,MainBuildingMaterial,CoveringMaterial,Component,Parent_UID,YearFrom,YearTo,DispDate,Period,Note
00357a75-de3c-407d-98e8-92f0b9e54472,Drinking Fountain,Demolished Structure,,,,490227,1909,1950,,,
0036e686-5d3c-4bde-92ea-fed8371691a2,House,,,,,0,1485,1603,Tudor,Tudor,
0036e686-5d3c-4bde-92ea-fed8371691a2,House,,,,,0,1540,1900,Post Medieval,Post Medieval,
0037766d-00d9-4e99-ae06-9f7baf040b13,Tenement,,,,,0,1066,1539,Medieval,Medieval,
003a799e-b10f-4021-865e-ef2065c47038,Brick Kiln,,,,,0,1485,1603,Tudor,Tudor,
003a799e-b10f-4021-865e-ef2065c47038,Brick Kiln,,,,,0,1540,1900,Post Medieval,Post Medieval,
003fd84c-8a8f-42ef-83c7-fcb369eb61b9,Public House,,,,,0,1485,1603,Tudor,Tudor,
003fd84c-8a8f-42ef-83c7-fcb369eb61b9,Public House,,,,,0,1540,1900,Post Medieval,Post Medieval,
00403fe6-3c15-44fb-95bc-fd7a8159ea18,Findspot,Find,,,,0,-700,42,,,
004083ce-3f3e-43f7-980d-9a7511f18ad0,Foundation Trench,,,,,0,1600,1700,,,
0044abbd-584f-45ad-b116-5cae8433f3ba,Findspot,,,,,0,1066,1539,Medieval,Medieval,
00463e5a-56e4-4853-939c-1b99e6159bd5,Barrack Block,Extant Building,Brick,Slate,,0,1739,1850,,,
00463e5a-56e4-4853-939c-1b99e6159bd5,Army Office,Extant Building,Brick,Slate,,0,1851,1951,,,
00463e5a-56e4-4853-939c-1b99e6159bd5,Laboratory,Extant Building,Brick,Slate,,0,1851,1951,,,
0046d70e-6d3d-443c-a379-0925d0bfe231,Presbyterian Chapel,,,,,0,1888,1888,,,
0046d70e-6d3d-443c-a379-0925d0bfe231,Office,,,,,0,1984,1984,,,
00471464-8d4d-4bd1-bfea-f6750c4bd2a7,Findspot,Unstratified Find,Metal,,,0,-100,42,,,
00483d78-ec2b-402b-94ce-a514a580310f,Semi Detached House,Extant Building,Brick,,,0,1850,2050,,,
00483d78-ec2b-402b-94ce-a514a580310f,,,,,Bay Window,499808,1850,2050,,,
00483d78-ec2b-402b-94ce-a514a580310f,,,,,Porch,499808,1850,2050,,,
00483d78-ec2b-402b-94ce-a514a580310f,,,,,Parapet,499808,1850,2050,,,
00483d78-ec2b-402b-94ce-a514a580310f,,,,,Cornice,499808,1850,2050,,,
0048c56e-dbb7-4a4e-9eda-8be3ede6a2cf,Camouflage,Documentary Evidence,,,,0,1939,1945,,,"A decoy road, associated with a wider pattern of camouflage."
004a2497-4bff-49ef-b706-0892bf3f831d,Lawn,Botanical Feature,,,,0,1840,2050,,,
004b59f7-67b0-4be8-a955-ad5582a17f25,House,,,,,0,1900,1974,,,
004b59f7-67b0-4be8-a955-ad5582a17f25,House,,,,,0,1800,1832,,,
004b59f7-67b0-4be8-a955-ad5582a17f25,House,,,,,0,1601,1699,,,
004b59f7-67b0-4be8-a955-ad5582a17f25,House,,,,,0,1820,1860,,,
004b59f7-67b0-4be8-a955-ad5582a17f25,Hotel,,,,,0,,,,,
004b59f7-67b0-4be8-a955-ad5582a17f25,Local Government Office,,,,,0,,,,,
004d145e-489d-4830-9fbf-3d76721e2fc5,School,,,,,0,1913,1913,,,
004d269f-0c6f-4eff-8b43-9ebbf3cf82c5,Pit,,,,,0,1540,1900,Post Medieval,Post Medieval,
004d7af7-6b36-4b59-b009-dc634bfffd2c,Inns Of Court,,,,,0,1800,,,,
004d7af7-6b36-4b59-b009-dc634bfffd2c,Lamp Post,,,,,0,1800,1866,,,
004d89d5-589d-42ee-a945-9a6efbede5a2,House,,,,,0,1540,1900,Post Medieval,Post Medieval,
004dcddb-b0c8-45ce-84d5-8a217f3d35d6,Vicarage,Extant Building,,,,0,1919,2050,,,
