ResourceID,Location Description,Location Description Type
0ef5aafb-af01-4db6-8c2c-33ac914ccf6e,"London Wall, City of London, EC2",Alternative
0f304a37-efb2-40fa-a7b5-eb5893e96c31,"Warwick Road, Ealing",Alternative
0f304a37-efb2-40fa-a7b5-eb5893e96c31,"The Park, Ealing",Alternative
0fb82940-b359-4dee-8812-fcb7006c96af,"Post Office Way, Nine Elms, Wandsworth",Alternative
0fcd3ebe-b678-45cf-a618-81ade5f85499,"Trent Park, Hadley Road, Cockfosters, Enfield",Alternative
0fd4f187-592b-4df1-9d4c-c38833946f97,"Gonson Street, Greenwich, SE8",Alternative
0fd4f187-592b-4df1-9d4c-c38833946f97,"Albury Street, Greenwich, SE8",Alternative
0ffd5981-2e52-46f5-a67e-4d27c4b3713e,"St Peters Hill, City of London, EC4",Alternative
10c32d5a-df7c-4055-b1e7-fbfe08c0a460,"Corner of Winchester Square, Southwark, SE1",Alternative
10c7673f-04f8-4cad-b246-079c723b6cd6,"Stone House, City of London, EC2",Alternative
10c7673f-04f8-4cad-b246-079c723b6cd6,"Staple Hall, City of London, EC2",Alternative
10f0467b-2fce-42dc-9c5a-454a581de3f5,"Bollo Bridge Road, South Acton, Ealing",Alternative
10f0467b-2fce-42dc-9c5a-454a581de3f5,"Avenue Gardens, South Acton, Ealing",Alternative
10f0467b-2fce-42dc-9c5a-454a581de3f5,"Avenue Road, South Acton, Ealing",Alternative
10f0467b-2fce-42dc-9c5a-454a581de3f5,"Langley Drive, South Acton, Ealing",Alternative
10f0467b-2fce-42dc-9c5a-454a581de3f5,"Mill Hill Road, South Acton, Ealing",Alternative
10f0467b-2fce-42dc-9c5a-454a581de3f5,"Cheltenham Place, South Acton, Ealing",Alternative
10f0467b-2fce-42dc-9c5a-454a581de3f5,"Church Road, South Acton, Ealing",Alternative
10f0467b-2fce-42dc-9c5a-454a581de3f5,"Brouncker Road, South Acton, Ealing",Alternative
1107e740-2e40-4359-bd77-0f5f4e103e3a,"Thanet Wharf & Hilton's Wharf, Copperas Street, Deptford Creek, Lewisham",Alternative
11153ec3-dcc3-4ed4-895c-98026a7c8891,"Paradise Street, Rotherhithe, Southwark",Alternative
11153ec3-dcc3-4ed4-895c-98026a7c8891,"Bermondsey Wall East, Rotherhithe, Southwark",Alternative
113ab0b1-8d3c-4e3f-90e3-5b6d87825113,"Faraday Avenue, Welling, Bexley",Alternative
113ab0b1-8d3c-4e3f-90e3-5b6d87825113,"Hook Lane, Welling, Bexley",Alternative
114ddbd8-bf46-4a06-9773-2c92cc641097,"Ben Jonson Road, Stepney, Tower Hamlets, EC4",Alternative
118a4135-6eab-4c28-9e95-25c09de4f0ff,"Davenant Street, Whitechapel, Tower Hamlets, E1",Alternative
11e6db6b-2879-4f27-b224-c7c525d18381,"Bromley High Street, Tower Hamlets",Alternative
11e6db6b-2879-4f27-b224-c7c525d18381,"Priory Street, Tower Hamlets",Alternative
1209d9e6-8f47-4562-a427-51c7dca153a3,"Forestreet, EC2",Alternative
1209d9e6-8f47-4562-a427-51c7dca153a3,"Silk Street, EC2",Alternative
123d81e1-84f9-41b5-bf91-0a07277514b4,"North Street, Barking, Barking and Dagenham, IG11",Alternative
127440b0-ee9c-4c4c-9428-3a53577c3575,"New Kent Road, Southwark, SE1",Alternative
12a5c972-1bf4-4b20-811d-cb1acc935ce3,"London Bridge Street, Southwark",Alternative
136d5d54-68ee-4fbd-b978-180896d456c2,"Maidstone Road, Sidcup, Bexley",Alternative
13732d29-6ed2-47f7-b3b9-c464d4fb74da,"Victoria Dock Road, E16",Alternative
13732d29-6ed2-47f7-b3b9-c464d4fb74da,"Marsh Wall, E14",Alternative
1383f7e1-7452-44cf-925a-05fe29865ddf,"East London Line Extension, SE8",Alternative
1383f7e1-7452-44cf-925a-05fe29865ddf,"East London Line Extension, SE16",Alternative
13b16a5e-cc98-4401-8c64-aea2480541b4,"Bermondsey Street, Southwark, SE1",Alternative
13f30814-bc0c-4da6-b7a0-74ca28513855,"Juxon Street, Lambeth, SE11",Alternative
13f30814-bc0c-4da6-b7a0-74ca28513855,"Lollard Street, Lambeth, SE11",Alternative
14c98cbf-5cf3-4b47-b669-4f173fd30613,"Wood Wharf & Adjacent Playground Site, Thames Street, Greenwich, SE10",Alternative
1519db5b-23a7-452b-b009-657f7db561fa,"Alma Estate, Ponders End, Enfield",Alternative
1519db5b-23a7-452b-b009-657f7db561fa,"South Street, Ponders End, Enfield",Alternative
1519db5b-23a7-452b-b009-657f7db561fa,"Alma Road, Ponders End, Enfield",Alternative
1553cb95-94e1-4612-b689-b7ca45092314,"Loftie Street, Bermondsey, Southwark, SE16",Alternative
156e6c1f-e3e9-4913-bac2-9c58742398e6,"Jubilee Avenue, Hale End, Waltham Forest, E4",Alternative
157ee9d1-0b4a-44fb-9d80-57e79c297c7c,"Royal Mint Street, Smithfield, Tower Hamlets",Alternative
15f7e300-83a1-430f-933b-66ffb79547a8,"Tower Bridge Road, Bermondsey, Southwark, SE1",Alternative
1725de49-9e00-4b0d-ba90-8007cca63965,"Crawford Road, Camberwell, Southwark",Alternative
1725de49-9e00-4b0d-ba90-8007cca63965,"Moras Road, Camberwell, Southwark",Alternative
1725de49-9e00-4b0d-ba90-8007cca63965,"Valmer Road, Camberwell, Southwark",Alternative
1725de49-9e00-4b0d-ba90-8007cca63965,"Camberwell New Road, Camberwell, Southwark",Alternative
1725de49-9e00-4b0d-ba90-8007cca63965,"Denmark Hill, Camberwell, Southwark",Alternative
1752d19a-01df-45b1-b60b-0186064e44e0,"Factory Road, Newham, E16",Alternative
17ac062c-3469-40e6-835f-20ad7a44c72a,"Lincoln's Inn Fields, WC2A",Alternative
17e7f32a-9804-40b6-bce8-4dfce7061947,"Seven Sisters Road, Stamford Hill, Hackney, N4",Alternative
18f00079-c838-43e2-8377-80df0f995967,"Wells Terrace, Finsbury Park, N4",Alternative
18f00079-c838-43e2-8377-80df0f995967,"Fonthill Road, Finsbury Park, N4",Alternative
192c603e-5fcf-4e12-9378-d09fddbf1b97,"Clink Street, Southwark, SE1",Alternative
1a006165-7ea5-4e01-af31-e989b7f2891c,"Stonegrove Estate, Green Lane, Edgware, Barnet",Alternative
1a006165-7ea5-4e01-af31-e989b7f2891c,"Stonegrove Estate, Spur Road, Edgware, Barnet",Alternative
1bd58829-b48a-4be2-a361-37a031f09c61,Kennington Way,Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Banner Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Bartholomew Square, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Bath Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Bunhill Row, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"City Road, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Dingley Place, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Dingley Road, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Dufferin Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Featherstone Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Hull Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Lever Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Lizard Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Mallow Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Mitchell Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Mora Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Old Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Peerless Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"Radnor Street, Islington, EC1",Alternative
1be81124-d9ac-4918-8e9b-a449a4fff445,"St Luke's Close, Islington, EC1",Alternative
1c3b64a9-afc7-40c5-87a6-2320071a55a7,"The Chase, Cranham, Upminster, Havering",Alternative
1ca796a1-a866-483e-821e-2344884b01cc,"Dagenham Dock, Chequers Lane, Dagenham, Barking and Dagenham, RM9",Alternative
1cae7a72-75a5-47fe-adae-3a074f12deda,"Market Place, Romford, RM1",Alternative
1d36d9b7-1a88-4650-9bbe-531c4404eae5,"Goswell Road, St Bartholomew's Hospital Medical College, EC1",Alternative
1d5b8fae-a911-48e8-b16e-a1d768773ba6,"William Street, Tottenham, Haringey, N17",Alternative
